compound_ids,canonical_smiles,measured_logS,cluster_id,split
"1,4-Dimethylnaphthalene ",Cc1ccc(C)c2ccccc12,-4.14,8,train
6-Methylchrysene,Cc1cc2c3ccccc3ccc2c2ccccc12,-6.57,1,train
2-Pentanone,CCCC(C)=O,-0.19,22,train
"2,2',3,3',5,5',6,6'-PCB",Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,-9.15,19,train
Methyl butyrate,CCCOC(=O)CC,-0.82,43,train
Triamcinolone,CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F,-3.68,32,train
p-Aminophenol,Nc1ccc(O)cc1,-0.8,7,train
Benznidazole,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,-2.81,410,train
"Atovaquone(0,430mg/ml) - neutral",O=C1C(O)=C(C2CCC(c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,-5.931,409,test
Trietazine,CCNc1nc(Cl)nc(N(CC)CC)n1,-4.06,37,train
Pyrazinamide,NC(=O)c1cnccn1,-0.667,98,train
Carbromal,CCC(Br)(CC)C(=O)NC(N)=O,-2.68,408,validation
"2,2'-PCB",Clc1ccccc1-c1ccccc1Cl,-5.27,4,train
nitrofurantoin,O=C1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)N1,-3.38,212,train
Nitrofen,O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1,-5.46,56,validation
Camphor,CC12CCC(CC1=O)C2(C)C,-1.96,407,train
5-Allyl-5-phenylbarbital,C=CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,-2.369,41,train
Pentyl propanoate,CCCCC(=O)OCC,-2.25,3,train
Isopentyl acetate,CC(=O)OCCC(C)C,-1.92,43,train
3-Hexanoyloxymethylphenyltoin,CCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-5.886,61,train
"2,3',5-PCB",Clc1cccc(-c2cc(Cl)ccc2Cl)c1,-6.01,2,train
1-Bromopropane,CCCBr,-1.73,44,train
Propiconazole,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,-3.4930000000000003,406,test
Formothion,COP(=S)(OC)SCC(=O)N(C)C=O,-1.995,168,train
4-methylpteridine,Cc1ncnc2nccnc12,-0.466,209,test
Thiourea,NC(N)=S,0.32,405,validation
p-Xylene ,Cc1ccc(C)cc1,-2.77,7,train
"1,2-Diethylbenzene",CCc1ccccc1CC,-3.28,11,train
Hexachloroethane,ClC(Cl)(Cl)C(Cl)(Cl)Cl,-3.67,236,train
Flucythrinate,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1,-6.876,35,train
1-Nitropropane,CCC[N+](=O)[O-],-0.8,235,test
Menthone,CC1CCC(C(C)C)C(=O)C1,-2.35,404,train
RTI 24,CCN1c2cc(Cl)ccc2NC(=O)c2cccnc21,-5.36,23,train
"2,3-Dichloronitrobenzene",O=[N+]([O-])c1cccc(Cl)c1Cl,-3.48,4,train
thiamylal,C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,-3.46,83,test
Fluoranthene,c1ccc2c(c1)-c1cccc3cccc-2c13,-6.0,34,train
Propylisopropylether,CCCOC(C)C,-1.34,234,validation
"1,3-Dimethylnaphthalene",Cc1cc(C)c2ccccc2c1,-4.29,8,train
diethylstilbestrol,CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,-4.07,7,train
Chlorothalonil,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,-5.64,403,test
"2,3',4',5-PCB",Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2)c1,-7.25,2,train
styrene oxide,c1ccc(C2CO2)cc1,-1.6,402,validation
Isopropylbenzene ,CC(C)c1ccccc1,-3.27,67,train
Deoxycorticosterone,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12,-3.45,6,train
chlorquinox,Clc1c(Cl)c(Cl)c2nccnc2c1Cl,-5.43,401,train
L-arabinose,OC1COC(O)C(O)C1O,0.39,400,test
Dichloromethane,ClCCl,-0.63,117,test
1-Ethylnaphthalene ,CCc1cccc2ccccc12,-4.17,1,train
Methyl formate,COC=O,0.58,399,validation
o-Nitrophenol,O=[N+]([O-])c1ccccc1O,-1.74,9,train
thymine,Cc1c[nH]c(=O)[nH]c1=O,-1.506,229,test
2-Methylpropane,CC(C)C,-2.55,45,train
Inosine,OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O,-1.23,228,validation
Ioxynil,N#Cc1cc(I)c(O)c(I)c1,-3.61,217,train
Niclosamide,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,-4.7,233,train
Pentane,CCCCC,-3.18,0,train
Phenol,Oc1ccccc1,0.0,5,train
2-aminoanthracene,Nc1ccc2cc3ccccc3cc2c1,-5.17,55,train
theobromine,Cn1cnc2c1c(=O)[nH]c(=O)n2C,-2.523,100,train
Isoquinoline,c1ccc2cnccc2c1,-1.45,232,test
Anilofos,COP(=S)(OC)SCC(=O)N(c1ccc(Cl)cc1)C(C)C,-4.432,168,train
Hexylbenzene ,CCCCCCc1ccccc1,-5.21,0,train
2-Chlorobiphenyl,Clc1ccccc1-c1ccccc1,-4.54,5,train
2-Methyl-1-Pentene,C=C(C)CCC,-3.03,167,validation
"2,3,4-Trimethylpentane",CC(C)C(C)C(C)C,-4.8,231,validation
Pentachlorobenzene,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,-5.65,19,train
m-Nitrophenol,O=[N+]([O-])c1cccc(O)c1,-1.01,9,train
1-Decene,C=CCCCCCCCC,-5.51,0,train
Glyceryl triacetate,CC(=O)OCC(COC(C)=O)OC(C)=O,-0.6,43,train
dimethirimol,CCCCc1c(C)nc(N(C)C)nc1O,-2.24,398,train
Cyfluthrin,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1,-7.337000000000001,35,train
Pyridine,c1ccncc1,0.76,166,train
1-Bromoheptane,CCCCCCCBr,-4.43,0,train
"3,4-Dimethylpyridine",Cc1ccncc1C,0.36,397,test
Fludrocortisone,CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F,-3.43,32,train
ethiofencarb,CCSCc1ccccc1OC(=O)NC,-2.09,30,train
Malonic acid diethylester,CCOC(=O)CC(=O)OCC,-0.82,3,train
d-Limonene,C=C(C)C1CC=C(C)CC1,-4.26,221,validation
Indan,c1ccc2c(c1)CCC2,-3.04,78,train
p-t-Butylphenol,CC(C)(C)c1ccc(O)cc1,-2.41,7,train
Cyclopropyl-5-spirobarbituric acid,O=C1NC(=O)C2(CC2)C(=O)N1,-1.886,46,train
m-Chloroiodobenzene,Clc1cccc(I)c1,-3.55,16,train
1-Bromonapthalene,Brc1cccc2ccccc12,-4.35,1,train
trans-2-Pentene ,C/C=C/CC,-2.54,230,train
"2,6-Dimethylpyridine",Cc1cccc(C)n1,0.45,396,validation
Trichloroethylene,ClC=C(Cl)Cl,-1.96,395,train
1-Napthylamine,Nc1cccc2ccccc12,-1.92,1,train
m-Xylene ,Cc1cccc(C)c1,-2.82,31,train
2-hydroxypteridine,Oc1ncc2nccnc2n1,-1.947,72,train
Methanol,CO,1.57,394,test
Amobarbital|5-Ethyl-5-(3-methylbutyl)barbital,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-2.563,17,train
2-Butanone,CCC(C)=O,0.52,28,train
5-fluorouracil,O=c1[nH]cc(F)c(=O)[nH]1,-1.077,229,test
tubercidin,Nc1ncnc2c1ccn2C1OC(CO)C(O)C1O,-1.95,228,validation
"1,3-Benzenediol",Oc1cccc(O)c1,0.81,16,train
1-Hexanol,CCCCCCO,-1.24,0,train
1-Chloropentane,CCCCCCl,-2.73,0,train
"1,3-Butadiene",C=CC=C,-1.87,223,test
Propyl acetate,CCCOC(C)=O,-0.72,43,train
"5,6,7,8-tetrahydro-2-naphthol",Oc1ccc2c(c1)CCCC2,-1.99,165,train
chloroacetamide,NC(=O)CCl,-0.02,139,train
Iodofenphos,COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,-6.62,88,train
4-Chlorotoluene,Cc1ccc(Cl)cc1,-3.08,7,train
Metribuzin,CSc1nnc(C(C)(C)C)c(=O)n1N,-2.253,393,validation
Tricresyl phosphate,Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc2ccccc2C)cc1,-6.01,392,train
Caproaldehyde,CCCCCC=O,-1.3,0,train
Butamben,CCCCOC(=O)c1ccc(N)cc1,-3.082,20,train
RTI 3,Cc1ccc2c(c1)Oc1ncc(N)cc1C(=O)N2C,-3.043,164,train
Nerol,CC(C)=CCC/C(C)=C\CO,-2.46,227,train
"2,4'-PCB",Clc1ccc(-c2ccccc2Cl)cc1,-5.28,15,train
3-Octanoyloxymethylphenytoin,CCCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-6.523,61,train
Nitroethane,CC[N+](=O)[O-],-0.22,129,train
Ethalfluralin,C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-6.124,58,train
"1,2,3,4-Tetrachlorobenzene",Clc1ccc(Cl)c(Cl)c1Cl,-4.57,2,train
Meprobamate,CCCC(C)(COC(N)=O)COC(N)=O,-1.807,226,test
pregnenolone,CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,-4.65,93,test
Iodomethane,CI,-1.0,391,test
cycloheximide,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,-1.13,390,validation
3-Heptanoyloxymethylphenytoin,CCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-6.301,61,train
isophorone,CC1=CC(=O)CC(C)(C)C1,-1.06,193,validation
Butabarbital,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,-2.39,17,train
5-Nonanone,CCCCC(=O)CCCC,-2.58,3,train
Glutethimide,CCC1(c2ccccc2)CCC(=O)NC1=O,-2.337,52,train
3-Methylpentane,CCC(C)CC,-3.68,14,train
Etofenprox,CCOc1ccc(C(C)(C)COCc2cccc(Oc3ccccc3)c2)cc1,-8.6,225,validation
Methaqualone,Cc1ccccc1-n1c(C)nc2ccccc2c1=O,-2.925,389,train
Chloroacetonitrile,N#CCCl,-0.092,213,validation
Trichloronate,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,-5.752000000000001,88,train
Ethisterone,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-5.66,6,train
Pyridazine,c1ccnnc1,1.1,166,train
"1,2,3,5-Tetrachlorobenzene",Clc1cc(Cl)c(Cl)c(Cl)c1,-4.63,2,train
Diosgenin,CC1COC2CC3(C)C(CC4C5C=C6CC(O)CCC6(C)CC5CCC43C)OC2C1,-7.32,388,test
o-Aminophenol,Nc1ccccc1O,-0.72,24,train
Ethyl nonanoate,CCCCCCCCC(=O)OCC,-3.8,3,train
metalaxyl,COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC,-1.601,113,train
Propoxur,CNC(=O)Oc1ccccc1OC(C)C,-2.05,30,train
2-Chlorobutane,CCC(C)Cl,-1.96,14,train
2-Napthol,Oc1ccc2ccccc2c1,-2.28,8,train
Oxadiazon,CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl,-5.696000000000001,224,train
1-Hexyne ,C#CCCCC,-2.36,54,train
1-Nonyne ,C#CCCCCCCC,-4.24,0,train
2-Chlorotoluene,Cc1ccccc1Cl,-3.52,4,train
Diisopropyl ether ,CC(C)OC(C)C,-1.1,387,validation
Dapsone,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,-3.094,51,train
Methyl hydrazine,CNN,1.34,386,train
Propyne,C#CC,-0.41,385,test
Phoxim,CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,-4.862,384,validation
Propetamphos,CCNP(=S)(OC)OC(C)=CC(=O)OC(C)C,-3.408,383,train
Acrolein,C=CC=O,0.57,223,test
Hypoxanthine,O=c1[nH]cnc2nc[nH]c12,-2.296,158,train
6-hydroxyquinoline,Oc1ccc2ncccc2c1,-2.16,49,train
Fluorobenzene,Fc1ccccc1,-1.8,5,train
1-Chloropropane,CCCCl,-1.47,53,train
Ethyl acetate,CCOC(C)=O,-0.04,3,train
"2,2-Dimethylpentane",CCCC(C)(C)C,-4.36,74,train
Pentamethylbenzene,Cc1cc(C)c(C)c(C)c1C,-4.0,163,train
"eucalyptol|1,8-Cineole",CC12CCC(CC1)C(C)(C)O2,-1.69,382,test
dibutyl sebacate,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-3.896,3,train
"4,4'-PCB",Clc1ccc(-c2ccc(Cl)cc2)cc1,-6.56,15,train
"2,3-Dimethylpyridine",Cc1cccnc1C,0.38,222,test
Carvone,C=C(C)C1CC=C(C)C(=O)C1,-2.06,221,validation
Carbophenthion,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,-5.736000000000001,68,train
"Etoposide (148-167,25mg/ml)",COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,-3.571,381,validation
Perylene,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,-8.804,1,train
"2,4-Dinitrotoluene",Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],-2.82,12,train
2-bromonaphthalene|2-Bromonapthalene,Brc1ccc2ccccc2c1,-4.4,8,train
Formetanate,CNC(=O)Oc1cccc(N=CN(C)C)c1,-2.34,30,train
6-methoxypteridine,COc1cnc2ncncc2n1,-1.139,72,train
nevirapine,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,-3.19,92,validation
Isazofos,CCOP(=S)(OCC)Oc1nc(Cl)n(C(C)C)n1,-3.658,110,train
"2-Methyl-1,3-Butadiene ",C=CC(=C)C,-2.03,112,train
linalool,C=CC(C)(O)CCC=C(C)C,-1.99,380,train
Fenthion,COP(=S)(OC)Oc1ccc(SC)c(C)c1,-4.57,120,train
Cyclohexanol ,OC1CCCCC1,-0.44,156,train
5-Allyl-5-methylbarbital,C=CCC1(C)C(=O)NC(=O)NC1=O,-1.16,41,train
Epiandrosterone|Androsterone,CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,-4.281000000000001,6,train
4-Methylbiphenyl,Cc1ccc(-c2ccccc2)cc1,-4.62,5,train
Atrazine,CCNc1nc(Cl)nc(NC(C)C)n1,-3.85,37,train
Phenylthiourea,NC(=S)Nc1ccccc1,-1.77,10,train
4-Heptanone,CCCC(=O)CCC,-1.3,22,train
"3,3-Dimethyl-2-butanone",CC(=O)C(C)(C)C,-0.72,379,test
4-Chlorophenol ,Oc1ccc(Cl)cc1,-0.7,7,train
Cyclohexanone,O=C1CCCCC1,-0.6,378,validation
m-Methylaniline,Cc1cccc(N)c1,-0.85,31,train
Trichloroacetonitrile,N#CC(Cl)(Cl)Cl,-2.168,377,train
norflurazon,CNc1cnn(-c2cccc(C(F)(F)F)c2)c(=O)c1Cl,-4.046,124,train
2-Decanone,CCCCCCCCC(C)=O,-3.3,0,train
Ipazine,CCN(CC)c1nc(Cl)nc(NC(C)C)n1,-3.785,37,train
Benzocaine,CCOC(=O)c1ccc(N)cc1,-2.616,20,train
"1,2,4-Trichlorobenzene",Clc1ccc(Cl)c(Cl)c1,-3.59,2,train
Triazolam,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,-4.09,140,train
"1,2-Benzenediol",Oc1ccccc1O,0.62,24,train
Reverse Transcriptase inhibitor 1,CCN1c2ncccc2C(=O)N(C)c2cccnc21,-2.62,23,train
Dimethyl sulfide,CSC,-0.45,181,test
2-Bromotoluene,Cc1ccccc1Br,-2.23,24,train
O-Ethyl carbamate,CCOC(N)=O,0.85,3,train
megestrol acetate,CC(=O)OC1(C(C)=O)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C,-5.35,106,train
"2,4-Dimethyl-3-pentanol",CC(C)C(O)C(C)C,-1.22,79,train
Napthalene,c1ccc2ccccc2c1,-3.6,1,train
N-Ethylaniline,CCNc1ccccc1,-1.7,11,train
Phenytoin,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,-4.097,52,train
"7,12-Dimethylbenz(a)anthracene",Cc1c2ccccc2c(C)c2c1ccc1ccccc12,-7.02,1,train
Dialifor|Dialifos,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,-6.34,175,validation
Methoxychlor,COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,-6.89,162,test
TEFLUBENZURON,O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(F)c(Cl)c1F,-7.28,220,validation
3-Pentanoyloxymethylphenytoin,CCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-4.678,61,train
Monuron,CN(C)C(=O)Nc1ccc(Cl)cc1,-2.89,13,train
Flutriafol,OC(Cn1cncn1)(c1ccc(F)cc1)c1ccccc1F,-3.37,202,validation
triamcinolone diacetate,CC(=O)OCC(=O)C1(O)C(OC(C)=O)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.13,39,train
1-Bromobutane,CCCCBr,-2.37,0,train
"1,2,4,5-Tetrabromobenzene",Brc1cc(Br)c(Br)cc1Br,-6.98,161,validation
4-Methyl-2-pentanone,CC(=O)CC(C)C,-0.74,28,train
cycloate,CCSC(=O)N(CC)C1CCCCC1,-3.4,376,test
4-Chloroanisole,COc1ccc(Cl)cc1,-2.78,15,train
Deltamethrin,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,-8.402000000000001,35,train
Talbutal,C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,-2.016,17,train
Fenitrothion,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,-4.04,47,train
1-Iodonapthalene,Ic1cccc2ccccc12,-4.55,1,train
Ethanethiol,CCS,-0.6,64,train
"1,1,2-Trichloroethane",ClCC(Cl)Cl,-1.48,160,train
Pyrolan,Cc1cc(OC(=O)N(C)C)n(-c2ccccc2)n1,-2.09,375,validation
o-Hydroxybenzamide,NC(=O)c1ccccc1O,-1.82,24,train
o-Nitrotoluene,Cc1ccccc1[N+](=O)[O-],-2.33,9,train
"5,5-Diisopropylbarbital",CC(C)C1(C(C)C)C(=O)NC(=O)NC1=O,-2.766,17,train
2-Ethyltoluene,CCc1ccccc1C,-3.21,11,train
1-Chloroheptane,CCCCCCCCl,-4.0,0,train
Barbital,CCC1(CC)C(=O)NC(=O)NC1=O,-2.4,17,train
Bibenzyl ,c1ccc(CCc2ccccc2)cc1,-4.62,5,train
"1,1,2,2-Tetrachloroethane",ClC(Cl)C(Cl)Cl,-1.74,45,train
RTI 23,CCN1c2cc(OC)cc(C)c2NC(=O)c2cccnc21,-5.153,23,train
2-Methylphenanthrene,Cc1ccc2c(ccc3ccccc32)c1,-5.84,1,train
dibutylphthalate,CCCCOC(=O)c1ccccc1C(=O)OCCCC,-4.4,20,train
tetrachloroguaiacol,COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,-4.02,115,train
Dimecron,CCN(CC)C(=O)C(Cl)=CCOP(=O)(OC)OC,0.523,374,train
Equilin,CC12CCC3C(=CCc4cc(O)ccc43)C1CCC2=O,-5.282,50,train
Chlorimuron-ethyl (ph 7),CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c1nc(Cl)cc(OC)n1,-4.5760000000000005,373,test
p-Nitroanisole,COc1ccc([N+](=O)[O-])cc1,-2.41,9,train
1-Chlorohexane,CCCCCCCl,-3.12,0,train
"2,2',3,3',4,4',5,5'-PCB",Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,-9.16,19,train
Raffinose,OCC1OC(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,-0.41,70,train
hexacosane,CCCCCCCCCCCCCCCCCCCCCCCCCC,-8.334,0,train
RTI 5,CCN1c2ccccc2N(C)C(=O)c2cccnc21,-3.324,23,train
"1,1-Dichloroethane",CC(Cl)Cl,-1.29,45,train
Sulfanilamide,Nc1ccc(S(N)(=O)=O)cc1,-1.34,51,train
Isopropalin,CCCN(CCC)c1c([N+](=O)[O-])cc(C(C)C)cc1[N+](=O)[O-],-6.49,58,train
Lindane,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-4.64,372,validation
Isofenphos,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,-4.194,371,train
"1,2,3-Trichlorobenzene",Clc1cccc(Cl)c1Cl,-4.0,4,train
Tetrachloromethane,ClC(Cl)(Cl)Cl,-2.31,136,train
"3,4-Dichloronitrobenzene",O=[N+]([O-])c1ccc(Cl)c(Cl)c1,-3.2,2,train
Cyclooctanol,OC1CCCCCCC1,-1.29,156,train
17a-Methyltestosterone,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,-3.999,6,train
Dulcin,CCOc1ccc(NC(N)=O)cc1,-2.17,159,test
"trans-1,4-Dimethylcyclohexane",CC1CCC(C)CC1,-4.47,96,train
"1,7-phenantroline",c1cnc2c(c1)ccc1ncccc12,-2.68,49,train
Methyl t-butyl ether ,COC(C)(C)C,-0.24,370,test
Anethole,CC=Cc1ccc(OC)cc1,-3.13,48,train
1-Hexadecanol,CCCCCCCCCCCCCCCCO,-7.0,0,train
uracil,O=c1cc[nH]c(=O)[nH]1,-1.4880000000000002,369,validation
adenine,Nc1ncnc2nc[nH]c12,-2.12,158,train
"2,2',3,4,5-PCB",Clc1cc(Cl)c(-c2cccc(Cl)c2Cl)cc1Cl,-7.21,4,train
Ancymidol,COc1ccc(C(O)(c2cncnc2)C2CC2)cc1,-2.596,368,train
Benzo(b)fluoranthene,c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,-8.23,1,train
Carbanilide,O=C(Nc1ccccc1)Nc1ccccc1,-3.15,10,train
phenobarbital|5-Ethyl-5-phenylbarbital,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,-2.322,52,train
"2',3,4-PCB",Clc1ccc(-c2cccc(Cl)c2Cl)cc1,-6.29,4,train
Isoproturon,CC(C)c1ccc(NC(=O)N(C)C)cc1,-3.536,13,train
Azintamide,CCN(CC)C(=O)CSc1ccc(Cl)nn1,-1.716,367,test
"2,2-Dimethyl-1-butanol",CCC(C)(C)CO,-1.04,26,train
Ethyl pentanoate,CCCOC(=O)CCC,-1.75,3,train
"2,4,6-Trinitrotoluene",Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],-3.22,12,train
