compound_ids,canonical_smiles,measured_logS,scaffold,is_acyclic_scaffold,split
Triamcinolone,CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F,-3.68,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,False,train
p-Aminophenol,Nc1ccc(O)cc1,-0.8,c1ccccc1,False,train
Benznidazole,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,-2.81,O=C(Cn1ccnc1)NCc1ccccc1,False,test
"Atovaquone(0,430mg/ml) - neutral",O=C1C(O)=C(C2CCC(c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,-5.931,O=C1C=C(C2CCC(c3ccccc3)CC2)C(=O)c2ccccc21,False,test
Trietazine,CCNc1nc(Cl)nc(N(CC)CC)n1,-4.06,c1ncncn1,False,train
Pyrazinamide,NC(=O)c1cnccn1,-0.667,c1cnccn1,False,validation
Carbromal,CCC(Br)(CC)C(=O)NC(N)=O,-2.68,,True,train
"2,2'-PCB",Clc1ccccc1-c1ccccc1Cl,-5.27,c1ccc(-c2ccccc2)cc1,False,train
nitrofurantoin,O=C1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)N1,-3.38,O=C1CN(N=Cc2ccco2)C(=O)N1,False,test
Nitrofen,O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1,-5.46,c1ccc(Oc2ccccc2)cc1,False,train
Camphor,CC12CCC(CC1=O)C2(C)C,-1.96,O=C1CC2CCC1C2,False,validation
5-Allyl-5-phenylbarbital,C=CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,-2.369,O=C1NC(=O)C(c2ccccc2)C(=O)N1,False,validation
Pentyl propanoate,CCCCC(=O)OCC,-2.25,,True,train
Isopentyl acetate,CC(=O)OCCC(C)C,-1.92,,True,train
3-Hexanoyloxymethylphenyltoin,CCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-5.886,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,False,train
"2,3',5-PCB",Clc1cccc(-c2cc(Cl)ccc2Cl)c1,-6.01,c1ccc(-c2ccccc2)cc1,False,train
1-Bromopropane,CCCBr,-1.73,,True,train
Propiconazole,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,-3.4930000000000003,c1ccc(C2(Cn3cncn3)OCCO2)cc1,False,train
Formothion,COP(=S)(OC)SCC(=O)N(C)C=O,-1.995,,True,train
4-methylpteridine,Cc1ncnc2nccnc12,-0.466,c1cnc2ncncc2n1,False,train
Thiourea,NC(N)=S,0.32,,True,train
p-Xylene ,Cc1ccc(C)cc1,-2.77,c1ccccc1,False,train
"1,2-Diethylbenzene",CCc1ccccc1CC,-3.28,c1ccccc1,False,train
Hexachloroethane,ClC(Cl)(Cl)C(Cl)(Cl)Cl,-3.67,,True,train
Flucythrinate,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1,-6.876,O=C(Cc1ccccc1)OCc1cccc(Oc2ccccc2)c1,False,train
1-Nitropropane,CCC[N+](=O)[O-],-0.8,,True,train
Menthone,CC1CCC(C(C)C)C(=O)C1,-2.35,O=C1CCCCC1,False,test
RTI 24,CCN1c2cc(Cl)ccc2NC(=O)c2cccnc21,-5.36,O=C1Nc2ccccc2Nc2ncccc21,False,validation
"2,3-Dichloronitrobenzene",O=[N+]([O-])c1cccc(Cl)c1Cl,-3.48,c1ccccc1,False,train
thiamylal,C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,-3.46,O=C1CC(=O)NC(=S)N1,False,train
Fluoranthene,c1ccc2c(c1)-c1cccc3cccc-2c13,-6.0,c1ccc2c(c1)-c1cccc3cccc-2c13,False,test
Propylisopropylether,CCCOC(C)C,-1.34,,True,train
"1,3-Dimethylnaphthalene",Cc1cc(C)c2ccccc2c1,-4.29,c1ccc2ccccc2c1,False,train
diethylstilbestrol,CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,-4.07,C(=Cc1ccccc1)c1ccccc1,False,validation
Chlorothalonil,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,-5.64,c1ccccc1,False,train
"2,3',4',5-PCB",Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2)c1,-7.25,c1ccc(-c2ccccc2)cc1,False,train
styrene oxide,c1ccc(C2CO2)cc1,-1.6,c1ccc(C2CO2)cc1,False,test
Isopropylbenzene ,CC(C)c1ccccc1,-3.27,c1ccccc1,False,train
Deoxycorticosterone,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12,-3.45,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,False,train
chlorquinox,Clc1c(Cl)c(Cl)c2nccnc2c1Cl,-5.43,c1ccc2nccnc2c1,False,train
L-arabinose,OC1COC(O)C(O)C1O,0.39,C1CCOCC1,False,validation
Dichloromethane,ClCCl,-0.63,,True,train
1-Ethylnaphthalene ,CCc1cccc2ccccc12,-4.17,c1ccc2ccccc2c1,False,train
Methyl formate,COC=O,0.58,,True,train
o-Nitrophenol,O=[N+]([O-])c1ccccc1O,-1.74,c1ccccc1,False,train
thymine,Cc1c[nH]c(=O)[nH]c1=O,-1.506,O=c1cc[nH]c(=O)[nH]1,False,train
2-Methylpropane,CC(C)C,-2.55,,True,train
Inosine,OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O,-1.23,c1ncc2ncn(C3CCCO3)c2n1,False,validation
Ioxynil,N#Cc1cc(I)c(O)c(I)c1,-3.61,c1ccccc1,False,train
Niclosamide,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,-4.7,O=C(Nc1ccccc1)c1ccccc1,False,test
Pentane,CCCCC,-3.18,,True,train
Phenol,Oc1ccccc1,0.0,c1ccccc1,False,train
2-aminoanthracene,Nc1ccc2cc3ccccc3cc2c1,-5.17,c1ccc2cc3ccccc3cc2c1,False,train
theobromine,Cn1cnc2c1c(=O)[nH]c(=O)n2C,-2.523,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,False,train
Isoquinoline,c1ccc2cnccc2c1,-1.45,c1ccc2cnccc2c1,False,train
Anilofos,COP(=S)(OC)SCC(=O)N(c1ccc(Cl)cc1)C(C)C,-4.432,c1ccccc1,False,train
Hexylbenzene ,CCCCCCc1ccccc1,-5.21,c1ccccc1,False,train
2-Chlorobiphenyl,Clc1ccccc1-c1ccccc1,-4.54,c1ccc(-c2ccccc2)cc1,False,train
2-Methyl-1-Pentene,C=C(C)CCC,-3.03,,True,train
"2,3,4-Trimethylpentane",CC(C)C(C)C(C)C,-4.8,,True,train
Pentachlorobenzene,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,-5.65,c1ccccc1,False,train
m-Nitrophenol,O=[N+]([O-])c1cccc(O)c1,-1.01,c1ccccc1,False,train
1-Decene,C=CCCCCCCCC,-5.51,,True,train
Glyceryl triacetate,CC(=O)OCC(COC(C)=O)OC(C)=O,-0.6,,True,train
dimethirimol,CCCCc1c(C)nc(N(C)C)nc1O,-2.24,c1cncnc1,False,validation
Cyfluthrin,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1,-7.337000000000001,O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1,False,train
Pyridine,c1ccncc1,0.76,c1ccncc1,False,train
1-Bromoheptane,CCCCCCCBr,-4.43,,True,train
"3,4-Dimethylpyridine",Cc1ccncc1C,0.36,c1ccncc1,False,train
Fludrocortisone,CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F,-3.43,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,False,train
ethiofencarb,CCSCc1ccccc1OC(=O)NC,-2.09,c1ccccc1,False,train
Malonic acid diethylester,CCOC(=O)CC(=O)OCC,-0.82,,True,train
d-Limonene,C=C(C)C1CC=C(C)CC1,-4.26,C1=CCCCC1,False,validation
Indan,c1ccc2c(c1)CCC2,-3.04,c1ccc2c(c1)CCC2,False,train
p-t-Butylphenol,CC(C)(C)c1ccc(O)cc1,-2.41,c1ccccc1,False,train
Cyclopropyl-5-spirobarbituric acid,O=C1NC(=O)C2(CC2)C(=O)N1,-1.886,O=C1NC(=O)C2(CC2)C(=O)N1,False,test
m-Chloroiodobenzene,Clc1cccc(I)c1,-3.55,c1ccccc1,False,train
1-Bromonapthalene,Brc1cccc2ccccc12,-4.35,c1ccc2ccccc2c1,False,train
trans-2-Pentene ,C/C=C/CC,-2.54,,True,train
"2,6-Dimethylpyridine",Cc1cccc(C)n1,0.45,c1ccncc1,False,train
Trichloroethylene,ClC=C(Cl)Cl,-1.96,,True,train
1-Napthylamine,Nc1cccc2ccccc12,-1.92,c1ccc2ccccc2c1,False,train
m-Xylene ,Cc1cccc(C)c1,-2.82,c1ccccc1,False,train
2-hydroxypteridine,Oc1ncc2nccnc2n1,-1.947,c1cnc2ncncc2n1,False,train
Methanol,CO,1.57,,True,train
Amobarbital|5-Ethyl-5-(3-methylbutyl)barbital,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-2.563,O=C1CC(=O)NC(=O)N1,False,train
2-Butanone,CCC(C)=O,0.52,,True,train
5-fluorouracil,O=c1[nH]cc(F)c(=O)[nH]1,-1.077,O=c1cc[nH]c(=O)[nH]1,False,train
tubercidin,Nc1ncnc2c1ccn2C1OC(CO)C(O)C1O,-1.95,c1ncc2ccn(C3CCCO3)c2n1,False,train
"1,3-Benzenediol",Oc1cccc(O)c1,0.81,c1ccccc1,False,train
1-Hexanol,CCCCCCO,-1.24,,True,train
1-Chloropentane,CCCCCCl,-2.73,,True,train
"1,3-Butadiene",C=CC=C,-1.87,,True,train
Propyl acetate,CCCOC(C)=O,-0.72,,True,train
"5,6,7,8-tetrahydro-2-naphthol",Oc1ccc2c(c1)CCCC2,-1.99,c1ccc2c(c1)CCCC2,False,validation
chloroacetamide,NC(=O)CCl,-0.02,,True,train
Iodofenphos,COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,-6.62,c1ccccc1,False,train
4-Chlorotoluene,Cc1ccc(Cl)cc1,-3.08,c1ccccc1,False,train
Metribuzin,CSc1nnc(C(C)(C)C)c(=O)n1N,-2.253,O=c1cnnc[nH]1,False,validation
Tricresyl phosphate,Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc2ccccc2C)cc1,-6.01,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,False,test
Caproaldehyde,CCCCCC=O,-1.3,,True,train
Butamben,CCCCOC(=O)c1ccc(N)cc1,-3.082,c1ccccc1,False,train
RTI 3,Cc1ccc2c(c1)Oc1ncc(N)cc1C(=O)N2C,-3.043,O=C1Nc2ccccc2Oc2ncccc21,False,train
Nerol,CC(C)=CCC/C(C)=C\CO,-2.46,,True,train
"2,4'-PCB",Clc1ccc(-c2ccccc2Cl)cc1,-5.28,c1ccc(-c2ccccc2)cc1,False,train
3-Octanoyloxymethylphenytoin,CCCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-6.523,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,False,train
Nitroethane,CC[N+](=O)[O-],-0.22,,True,train
Ethalfluralin,C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-6.124,c1ccccc1,False,train
"1,2,3,4-Tetrachlorobenzene",Clc1ccc(Cl)c(Cl)c1Cl,-4.57,c1ccccc1,False,train
Meprobamate,CCCC(C)(COC(N)=O)COC(N)=O,-1.807,,True,train
pregnenolone,CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,-4.65,C1=C2CCCCC2C2CCC3CCCC3C2C1,False,validation
Iodomethane,CI,-1.0,,True,train
cycloheximide,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,-1.13,O=C1CC(CCC2CCCCC2=O)CC(=O)N1,False,test
3-Heptanoyloxymethylphenytoin,CCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-6.301,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,False,train
isophorone,CC1=CC(=O)CC(C)(C)C1,-1.06,O=C1C=CCCC1,False,test
Butabarbital,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,-2.39,O=C1CC(=O)NC(=O)N1,False,train
5-Nonanone,CCCCC(=O)CCCC,-2.58,,True,train
Glutethimide,CCC1(c2ccccc2)CCC(=O)NC1=O,-2.337,O=C1CCC(c2ccccc2)C(=O)N1,False,train
3-Methylpentane,CCC(C)CC,-3.68,,True,train
Etofenprox,CCOc1ccc(C(C)(C)COCc2cccc(Oc3ccccc3)c2)cc1,-8.6,c1ccc(CCOCc2cccc(Oc3ccccc3)c2)cc1,False,validation
Methaqualone,Cc1ccccc1-n1c(C)nc2ccccc2c1=O,-2.925,O=c1c2ccccc2ncn1-c1ccccc1,False,test
Chloroacetonitrile,N#CCCl,-0.092,,True,train
Trichloronate,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,-5.752000000000001,c1ccccc1,False,train
Ethisterone,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-5.66,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,False,train
Pyridazine,c1ccnnc1,1.1,c1ccnnc1,False,validation
"1,2,3,5-Tetrachlorobenzene",Clc1cc(Cl)c(Cl)c(Cl)c1,-4.63,c1ccccc1,False,train
Diosgenin,CC1COC2CC3(C)C(CC4C5C=C6CC(O)CCC6(C)CC5CCC43C)OC2C1,-7.32,C1=C2CCCCC2CC2CCC3C4CC5OCCCC5OC4CC3C12,False,test
o-Aminophenol,Nc1ccccc1O,-0.72,c1ccccc1,False,train
Ethyl nonanoate,CCCCCCCCC(=O)OCC,-3.8,,True,train
metalaxyl,COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC,-1.601,c1ccccc1,False,train
Propoxur,CNC(=O)Oc1ccccc1OC(C)C,-2.05,c1ccccc1,False,train
2-Chlorobutane,CCC(C)Cl,-1.96,,True,train
2-Napthol,Oc1ccc2ccccc2c1,-2.28,c1ccc2ccccc2c1,False,train
Oxadiazon,CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl,-5.696000000000001,O=c1ocnn1-c1ccccc1,False,validation
1-Hexyne ,C#CCCCC,-2.36,,True,train
1-Nonyne ,C#CCCCCCCC,-4.24,,True,train
2-Chlorotoluene,Cc1ccccc1Cl,-3.52,c1ccccc1,False,train
Diisopropyl ether ,CC(C)OC(C)C,-1.1,,True,train
Dapsone,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,-3.094,O=S(=O)(c1ccccc1)c1ccccc1,False,validation
Methyl hydrazine,CNN,1.34,,True,train
Propyne,C#CC,-0.41,,True,train
Phoxim,CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,-4.862,c1ccccc1,False,train
Propetamphos,CCNP(=S)(OC)OC(C)=CC(=O)OC(C)C,-3.408,,True,train
Acrolein,C=CC=O,0.57,,True,train
Hypoxanthine,O=c1[nH]cnc2nc[nH]c12,-2.296,O=c1[nH]cnc2nc[nH]c12,False,train
6-hydroxyquinoline,Oc1ccc2ncccc2c1,-2.16,c1ccc2ncccc2c1,False,test
Fluorobenzene,Fc1ccccc1,-1.8,c1ccccc1,False,train
1-Chloropropane,CCCCl,-1.47,,True,train
Ethyl acetate,CCOC(C)=O,-0.04,,True,train
"2,2-Dimethylpentane",CCCC(C)(C)C,-4.36,,True,train
Pentamethylbenzene,Cc1cc(C)c(C)c(C)c1C,-4.0,c1ccccc1,False,train
"eucalyptol|1,8-Cineole",CC12CCC(CC1)C(C)(C)O2,-1.69,C1CC2CCC1CO2,False,validation
dibutyl sebacate,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-3.896,,True,train
"4,4'-PCB",Clc1ccc(-c2ccc(Cl)cc2)cc1,-6.56,c1ccc(-c2ccccc2)cc1,False,train
"2,3-Dimethylpyridine",Cc1cccnc1C,0.38,c1ccncc1,False,train
Carvone,C=C(C)C1CC=C(C)C(=O)C1,-2.06,O=C1C=CCCC1,False,test
Carbophenthion,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,-5.736000000000001,c1ccccc1,False,train
"Etoposide (148-167,25mg/ml)",COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,-3.571,O=C1OCC2C(OC3CCC4OCOCC4O3)c3cc4c(cc3C(c3ccccc3)C12)OCO4,False,train
Perylene,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,-8.804,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,False,validation
"2,4-Dinitrotoluene",Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],-2.82,c1ccccc1,False,train
2-bromonaphthalene|2-Bromonapthalene,Brc1ccc2ccccc2c1,-4.4,c1ccc2ccccc2c1,False,train
Formetanate,CNC(=O)Oc1cccc(N=CN(C)C)c1,-2.34,c1ccccc1,False,train
6-methoxypteridine,COc1cnc2ncncc2n1,-1.139,c1cnc2ncncc2n1,False,train
nevirapine,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,-3.19,O=C1Nc2cccnc2N(C2CC2)c2ncccc21,False,validation
Isazofos,CCOP(=S)(OCC)Oc1nc(Cl)n(C(C)C)n1,-3.658,c1nc[nH]n1,False,test
"2-Methyl-1,3-Butadiene ",C=CC(=C)C,-2.03,,True,train
linalool,C=CC(C)(O)CCC=C(C)C,-1.99,,True,train
Fenthion,COP(=S)(OC)Oc1ccc(SC)c(C)c1,-4.57,c1ccccc1,False,train
Cyclohexanol ,OC1CCCCC1,-0.44,C1CCCCC1,False,train
5-Allyl-5-methylbarbital,C=CCC1(C)C(=O)NC(=O)NC1=O,-1.16,O=C1CC(=O)NC(=O)N1,False,train
Epiandrosterone|Androsterone,CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,-4.281000000000001,O=C1CCC2C1CCC1C3CCCCC3CCC21,False,train
4-Methylbiphenyl,Cc1ccc(-c2ccccc2)cc1,-4.62,c1ccc(-c2ccccc2)cc1,False,train
Atrazine,CCNc1nc(Cl)nc(NC(C)C)n1,-3.85,c1ncncn1,False,train
Phenylthiourea,NC(=S)Nc1ccccc1,-1.77,c1ccccc1,False,train
4-Heptanone,CCCC(=O)CCC,-1.3,,True,train
"3,3-Dimethyl-2-butanone",CC(=O)C(C)(C)C,-0.72,,True,train
4-Chlorophenol ,Oc1ccc(Cl)cc1,-0.7,c1ccccc1,False,train
Cyclohexanone,O=C1CCCCC1,-0.6,O=C1CCCCC1,False,test
m-Methylaniline,Cc1cccc(N)c1,-0.85,c1ccccc1,False,train
Trichloroacetonitrile,N#CC(Cl)(Cl)Cl,-2.168,,True,train
norflurazon,CNc1cnn(-c2cccc(C(F)(F)F)c2)c(=O)c1Cl,-4.046,O=c1cccnn1-c1ccccc1,False,train
2-Decanone,CCCCCCCCC(C)=O,-3.3,,True,train
Ipazine,CCN(CC)c1nc(Cl)nc(NC(C)C)n1,-3.785,c1ncncn1,False,train
Benzocaine,CCOC(=O)c1ccc(N)cc1,-2.616,c1ccccc1,False,train
"1,2,4-Trichlorobenzene",Clc1ccc(Cl)c(Cl)c1,-3.59,c1ccccc1,False,train
Triazolam,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,-4.09,c1ccc(C2=NCc3nncn3-c3ccccc32)cc1,False,validation
"1,2-Benzenediol",Oc1ccccc1O,0.62,c1ccccc1,False,train
Reverse Transcriptase inhibitor 1,CCN1c2ncccc2C(=O)N(C)c2cccnc21,-2.62,O=C1Nc2cccnc2Nc2ncccc21,False,train
Dimethyl sulfide,CSC,-0.45,,True,train
2-Bromotoluene,Cc1ccccc1Br,-2.23,c1ccccc1,False,train
O-Ethyl carbamate,CCOC(N)=O,0.85,,True,train
megestrol acetate,CC(=O)OC1(C(C)=O)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C,-5.35,O=C1C=C2C=CC3C4CCCC4CCC3C2CC1,False,train
"2,4-Dimethyl-3-pentanol",CC(C)C(O)C(C)C,-1.22,,True,train
Napthalene,c1ccc2ccccc2c1,-3.6,c1ccc2ccccc2c1,False,train
N-Ethylaniline,CCNc1ccccc1,-1.7,c1ccccc1,False,train
Phenytoin,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,-4.097,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,False,train
"7,12-Dimethylbenz(a)anthracene",Cc1c2ccccc2c(C)c2c1ccc1ccccc12,-7.02,c1ccc2cc3c(ccc4ccccc43)cc2c1,False,validation
Dialifor|Dialifos,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,-6.34,O=C1NC(=O)c2ccccc21,False,validation
