compound_ids,canonical_smiles,measured_logS,replicate_n,replicate_std,replicate_range,curation_action,desc_mol_weight,desc_logp,desc_tpsa,desc_hbd,desc_hba,desc_rotatable_bonds,desc_ring_count,desc_aromatic_ring_count,desc_heavy_atom_count,desc_fraction_csp3
2-Undecanol,CCCCCCCCCC(C)O,-2.94,1,,0.0,unique_keep,172.312,3.5079000000000025,20.23,1,1,8,0,0,12,1.0
"2,2',3,4,6-PCB",Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,-7.43,1,,0.0,unique_keep,326.437,6.620600000000001,0.0,0,0,1,2,2,17,0.0
Lenacil,O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2,-4.593999999999999,1,,0.0,unique_keep,234.2989999999999,1.5305,54.86,1,2,1,3,1,17,0.6923076923076923
Phorate,CCOP(=S)(OCC)SCSCC,-4.11,1,,0.0,unique_keep,260.38599999999997,3.727700000000003,18.46,0,5,8,0,0,13,1.0
Phenacetin,CCOc1ccc(NC(C)=O)cc1,-2.35,1,,0.0,unique_keep,179.219,2.0437,38.33,1,2,3,1,1,13,0.3
Dinitramine,CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],-5.47,1,,0.0,unique_keep,322.24300000000005,2.9502000000000006,115.53999999999999,1,6,5,1,1,22,0.45454545454545453
1-Heptanol,CCCCCCCO,-1.81,1,,0.0,unique_keep,116.204,1.9491,20.23,1,1,5,0,0,8,1.0
Theophylline,Cn1c(=O)c2[nH]cnc2n(C)c1=O,-1.39,1,,0.0,unique_keep,180.16699999999997,-1.0397000000000005,72.68,1,3,0,2,2,13,0.2857142857142857
Butethal,CCCCC1(CC)C(=O)NC(=O)NC1=O,-1.661,1,,0.0,unique_keep,212.249,0.9389999999999998,75.27000000000001,2,3,4,1,0,15,0.7
"P,P'-DDE",ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,-6.9,1,,0.0,unique_keep,318.0300000000001,6.187900000000003,0.0,0,0,2,2,2,18,0.0
Methyl octanoate,CCCCCCCC(=O)OC,-3.17,1,,0.0,unique_keep,158.24099999999999,2.5199000000000007,26.3,0,2,6,0,0,11,0.8888888888888888
"1,4-Diethylbenzene ",CCc1ccc(CC)cc1,-3.75,1,,0.0,unique_keep,134.22199999999998,2.811400000000001,0.0,0,0,2,1,1,10,0.4
Terbufos,CCOP(=S)(OCC)SCSC(C)(C)C,-4.755,1,,0.0,unique_keep,288.44,4.506300000000004,18.46,0,5,7,0,0,15,1.0
Phenmedipham,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,-4.805,1,,0.0,unique_keep,300.314,3.784220000000002,76.66,2,4,3,2,2,22,0.125
"1,1-Dichloroethylene",C=C(Cl)Cl,-1.64,1,,0.0,unique_keep,96.944,1.9352,0.0,0,0,0,0,0,4,0.0
1-Methylfluorene,Cc1cccc2c1Cc1ccccc1-2,-5.22,1,,0.0,unique_keep,180.25000000000003,3.566220000000002,0.0,0,0,0,3,2,14,0.14285714285714285
Valeraldehyde,CCCCC=O,-0.85,1,,0.0,unique_keep,86.13399999999999,1.3755,17.07,0,1,3,0,0,6,0.8
Diphenylamine,c1ccc(Nc2ccccc2)cc1,-3.504,1,,0.0,unique_keep,169.227,3.430200000000001,12.03,1,1,2,2,2,13,0.0
Fenothiocarb,CN(C)C(=O)SCCCCOc1ccccc1,-3.927,1,,0.0,unique_keep,253.367,3.2604000000000024,29.540000000000003,0,3,6,1,1,17,0.46153846153846156
Piperophos,CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,-4.15,1,,0.0,unique_keep,353.4900000000001,4.198300000000004,38.77,0,5,9,1,0,21,0.9285714285714286
1-Iodoheptane,CCCCCCCI,-4.81,1,,0.0,unique_keep,226.101,3.3918000000000026,0.0,0,0,5,0,0,8,1.0
3-Chlorobiphenyl,Clc1cccc(-c2ccccc2)c1,-4.88,1,,0.0,unique_keep,188.657,4.007000000000002,0.0,0,0,1,2,2,13,0.0
4-Pentene-1-ol,C=CCCCO,-0.15,1,,0.0,unique_keep,86.13399999999999,0.9448999999999999,20.23,1,1,3,0,0,6,0.6
Cyclobutyl-5-spirobarbituric acid,O=C1NC(=O)C2(CCC2)C(=O)N1,-1.655,1,,0.0,unique_keep,168.15200000000002,-0.4773,75.27,2,3,0,2,0,12,0.5714285714285714
menthol,CC1CCC(C(C)C)C(O)C1,-2.53,1,,0.0,unique_keep,156.26899999999998,2.4395000000000007,20.23,1,1,1,1,0,11,1.0
Isopropyl formate,CC(C)OC=O,-0.63,1,,0.0,unique_keep,88.106,0.5678,26.3,0,2,2,0,0,6,0.75
2-Heptanol ,CCCCCC(C)O,-1.55,1,,0.0,unique_keep,116.20399999999998,1.9475000000000002,20.23,1,1,4,0,0,8,1.0
p-Bromoacetanilide,CC(=O)Nc1ccc(Br)cc1,-3.083,1,,0.0,unique_keep,214.06199999999998,2.4074999999999998,29.1,1,1,1,1,1,11,0.125
brompyrazone,Nc1cnn(-c2ccccc2)c(=O)c1Br,-3.127,1,,0.0,unique_keep,266.09799999999996,1.5772000000000002,60.91,1,3,1,2,2,15,0.0
nifedipine,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],-4.76,1,,0.0,unique_keep,346.33900000000006,2.1756,107.77000000000001,1,7,4,2,1,25,0.29411764705882354
"2,7-dimethylquinoline",Cc1ccc2ccc(C)nc2c1,-1.94,1,,0.0,unique_keep,157.21599999999998,2.8516400000000006,12.89,0,1,0,2,2,12,0.18181818181818182
1-Octyne ,C#CCCCCCC,-3.66,1,,0.0,unique_keep,110.2,2.5900000000000007,0.0,0,0,4,0,0,8,0.75
cyclobarbital,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,-2.17,1,,0.0,unique_keep,236.271,1.2491999999999996,75.27000000000001,2,3,2,2,0,17,0.5833333333333334
Chrysene,c1ccc2c(c1)ccc1c3ccccc3ccc21,-8.057,1,,0.0,unique_keep,228.29399999999998,5.146200000000003,0.0,0,0,0,4,4,18,0.0
Bromacil,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,-2.523,1,,0.0,unique_keep,261.11899999999997,1.5785200000000001,54.86,1,2,2,1,1,14,0.5555555555555556
"2,2',3,3',5,6-PCB",Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,-8.6,1,,0.0,unique_keep,360.88200000000006,7.274000000000001,0.0,0,0,1,2,2,18,0.0
2-Methylphenol,Cc1ccccc1O,-0.62,1,,0.0,unique_keep,108.13999999999999,1.70062,20.23,1,1,0,1,1,8,0.14285714285714285
"2,2,5-Trimethylhexane",CC(C)CCC(C)(C)C,-5.05,1,,0.0,unique_keep,128.259,3.468700000000003,0.0,0,0,2,0,0,9,1.0
"1,4-Dimethylnaphthalene ",Cc1ccc(C)c2ccccc12,-4.14,1,,0.0,unique_keep,156.228,3.456640000000002,0.0,0,0,0,2,2,12,0.16666666666666666
6-Methylchrysene,Cc1cc2c3ccccc3ccc2c2ccccc12,-6.57,1,,0.0,unique_keep,242.321,5.454620000000004,0.0,0,0,0,4,4,19,0.05263157894736842
2-Pentanone,CCCC(C)=O,-0.19,1,,0.0,unique_keep,86.13399999999999,1.3755,17.07,0,1,2,0,0,6,0.8
"2,2',3,3',5,5',6,6'-PCB",Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,-9.15,1,,0.0,unique_keep,429.77200000000016,8.580799999999998,0.0,0,0,1,2,2,20,0.0
Methyl butyrate,CCCOC(=O)CC,-0.82,1,,0.0,unique_keep,116.15999999999998,1.3496000000000001,26.3,0,2,3,0,0,8,0.8333333333333334
Triamcinolone,CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F,-3.68,1,,0.0,unique_keep,394.4390000000002,0.6204999999999998,115.06,4,6,2,4,0,28,0.7142857142857143
p-Aminophenol,Nc1ccc(O)cc1,-0.8,1,,0.0,unique_keep,109.12799999999999,0.9743999999999999,46.25,2,2,0,1,1,8,0.0
Benznidazole,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,-2.81,1,,0.0,unique_keep,260.253,1.1077,90.06,1,4,5,2,2,19,0.16666666666666666
"Atovaquone(0,430mg/ml) - neutral",O=C1C(O)=C(C2CCC(c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,-5.931,1,,0.0,unique_keep,366.84400000000016,5.505100000000004,54.37,1,3,2,4,2,26,0.2727272727272727
Trietazine,CCNc1nc(Cl)nc(N(CC)CC)n1,-4.06,1,,0.0,unique_keep,229.71499999999997,1.803,53.940000000000005,1,5,5,1,1,15,0.6666666666666666
Pyrazinamide,NC(=O)c1cnccn1,-0.667,1,,0.0,unique_keep,123.11499999999998,-0.4245000000000001,68.87,1,3,1,1,1,9,0.0
Carbromal,CCC(Br)(CC)C(=O)NC(N)=O,-2.68,1,,0.0,unique_keep,237.09699999999998,1.1349999999999998,72.19,2,2,3,0,0,12,0.7142857142857143
"2,2'-PCB",Clc1ccccc1-c1ccccc1Cl,-5.27,1,,0.0,unique_keep,223.102,4.660400000000002,0.0,0,0,1,2,2,14,0.0
nitrofurantoin,O=C1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)N1,-3.38,1,,0.0,unique_keep,238.15899999999996,0.07349999999999995,118.05000000000001,1,6,3,2,1,17,0.125
Nitrofen,O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1,-5.46,1,,0.0,unique_keep,284.098,4.693900000000002,52.370000000000005,0,3,3,2,2,18,0.0
Camphor,CC12CCC(CC1=O)C2(C)C,-1.96,1,,0.0,unique_keep,152.237,2.401700000000001,17.07,0,1,0,2,0,11,0.9
5-Allyl-5-phenylbarbital,C=CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,-2.369,1,,0.0,unique_keep,244.24999999999997,0.8664999999999996,75.27000000000001,2,3,3,2,1,18,0.15384615384615385
Pentyl propanoate,CCCCC(=O)OCC,-2.25,1,,0.0,unique_keep,130.18699999999998,1.7397,26.3,0,2,4,0,0,9,0.8571428571428571
Isopentyl acetate,CC(=O)OCCC(C)C,-1.92,1,,0.0,unique_keep,130.18699999999998,1.5956000000000001,26.3,0,2,3,0,0,9,0.8571428571428571
3-Hexanoyloxymethylphenyltoin,CCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-5.886,1,,0.0,unique_keep,380.4440000000001,3.5630000000000024,75.71000000000001,1,4,8,3,2,28,0.3181818181818182
"2,3',5-PCB",Clc1cccc(-c2cc(Cl)ccc2Cl)c1,-6.01,1,,0.0,unique_keep,257.54699999999997,5.313800000000002,0.0,0,0,1,2,2,15,0.0
1-Bromopropane,CCCBr,-1.73,1,,0.0,unique_keep,122.993,1.7913000000000001,0.0,0,0,1,0,0,4,1.0
Propiconazole,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,-3.4930000000000003,1,,0.0,unique_keep,342.2260000000001,3.653400000000003,49.17,0,4,5,3,2,22,0.4666666666666667
Formothion,COP(=S)(OC)SCC(=O)N(C)C=O,-1.995,1,,0.0,unique_keep,257.27299999999997,0.8516999999999999,55.84,0,6,6,0,0,14,0.6666666666666666
4-methylpteridine,Cc1ncnc2nccnc12,-0.466,1,,0.0,unique_keep,146.15299999999996,0.7282199999999999,51.56,0,4,0,2,2,11,0.14285714285714285
Thiourea,NC(N)=S,0.32,1,,0.0,unique_keep,76.124,-0.8113000000000001,52.04,2,1,0,0,0,4,0.0
p-Xylene ,Cc1ccc(C)cc1,-2.77,1,,0.0,unique_keep,106.16799999999999,2.30344,0.0,0,0,0,1,1,8,0.25
"1,2-Diethylbenzene",CCc1ccccc1CC,-3.28,1,,0.0,unique_keep,134.22199999999998,2.811400000000001,0.0,0,0,2,1,1,10,0.4
Hexachloroethane,ClC(Cl)(Cl)C(Cl)(Cl)Cl,-3.67,1,,0.0,unique_keep,236.74,3.7268,0.0,0,0,0,0,0,8,1.0
Flucythrinate,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1,-6.876,1,,0.0,unique_keep,451.46900000000005,6.627980000000005,68.55000000000001,0,5,9,3,3,33,0.23076923076923078
1-Nitropropane,CCC[N+](=O)[O-],-0.8,1,,0.0,unique_keep,89.09399999999998,0.6731,43.14,0,2,2,0,0,6,1.0
Menthone,CC1CCC(C(C)C)C(=O)C1,-2.35,1,,0.0,unique_keep,154.25299999999996,2.6477000000000013,17.07,0,1,1,1,0,11,0.9
RTI 24,CCN1c2cc(Cl)ccc2NC(=O)c2cccnc21,-5.36,1,,0.0,unique_keep,273.723,3.458700000000001,45.230000000000004,1,3,1,3,2,19,0.14285714285714285
"2,3-Dichloronitrobenzene",O=[N+]([O-])c1cccc(Cl)c1Cl,-3.48,1,,0.0,unique_keep,192.00099999999998,2.901600000000001,43.14,0,2,1,1,1,11,0.0
thiamylal,C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,-3.46,1,,0.0,unique_keep,254.355,1.5159999999999998,58.2,2,3,5,1,0,17,0.5833333333333334
Fluoranthene,c1ccc2c(c1)-c1cccc3cccc-2c13,-6.0,1,,0.0,unique_keep,202.25599999999997,4.487200000000002,0.0,0,0,0,4,3,16,0.0
Propylisopropylether,CCCOC(C)C,-1.34,1,,0.0,unique_keep,102.17699999999998,1.8214000000000001,9.23,0,1,3,0,0,7,1.0
"1,3-Dimethylnaphthalene",Cc1cc(C)c2ccccc2c1,-4.29,1,,0.0,unique_keep,156.22799999999998,3.456640000000002,0.0,0,0,0,2,2,12,0.16666666666666666
diethylstilbestrol,CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,-4.07,1,,0.0,unique_keep,268.356,4.828600000000005,40.46,2,2,4,2,2,20,0.2222222222222222
Chlorothalonil,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,-5.64,1,,0.0,unique_keep,265.914,4.04356,47.58,0,2,0,1,1,14,0.0
"2,3',4',5-PCB",Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2)c1,-7.25,1,,0.0,unique_keep,291.992,5.967200000000002,0.0,0,0,1,2,2,16,0.0
styrene oxide,c1ccc(C2CO2)cc1,-1.6,1,,0.0,unique_keep,120.15099999999997,1.7578999999999998,12.53,0,1,1,2,1,9,0.25
Isopropylbenzene ,CC(C)c1ccccc1,-3.27,1,,0.0,unique_keep,120.19499999999995,2.8100000000000014,0.0,0,0,1,1,1,9,0.3333333333333333
Deoxycorticosterone,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12,-3.45,1,,0.0,unique_keep,330.46800000000013,3.6959000000000026,54.370000000000005,1,3,2,4,0,24,0.8095238095238095
chlorquinox,Clc1c(Cl)c(Cl)c2nccnc2c1Cl,-5.43,1,,0.0,unique_keep,267.93,4.2434,25.78,0,2,0,2,2,14,0.0
L-arabinose,OC1COC(O)C(O)C1O,0.39,1,,0.0,unique_keep,150.13,-2.5823000000000005,90.15,4,5,0,1,0,10,1.0
Dichloromethane,ClCCl,-0.63,1,,0.0,unique_keep,84.93299999999999,1.4215,0.0,0,0,0,0,0,3,1.0
1-Ethylnaphthalene ,CCc1cccc2ccccc12,-4.17,1,,0.0,unique_keep,156.22799999999998,3.4022000000000023,0.0,0,0,1,2,2,12,0.16666666666666666
Methyl formate,COC=O,0.58,1,,0.0,unique_keep,60.05200000000001,-0.2108000000000001,26.3,0,2,1,0,0,4,0.5
o-Nitrophenol,O=[N+]([O-])c1ccccc1O,-1.74,1,,0.0,unique_keep,139.10999999999999,1.3003999999999998,63.370000000000005,1,3,1,1,1,10,0.0
thymine,Cc1c[nH]c(=O)[nH]c1=O,-1.506,1,,0.0,unique_keep,126.115,-0.6283800000000002,65.72,2,2,0,1,1,9,0.2
2-Methylpropane,CC(C)C,-2.55,1,,0.0,unique_keep,58.123999999999995,1.6622999999999999,0.0,0,0,0,0,0,4,1.0
Inosine,OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O,-1.23,1,,0.0,unique_keep,268.22900000000004,-1.8566000000000003,133.75,4,8,2,3,2,19,0.5
Ioxynil,N#Cc1cc(I)c(O)c(I)c1,-3.61,1,,0.0,unique_keep,370.91499999999996,2.4730799999999995,44.019999999999996,1,2,0,1,1,11,0.0
Niclosamide,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,-4.7,1,,0.0,unique_keep,327.12300000000005,3.859500000000001,92.47,2,4,3,2,2,21,0.0
Pentane,CCCCC,-3.18,1,,0.0,unique_keep,72.151,2.1965000000000003,0.0,0,0,2,0,0,5,1.0
Phenol,Oc1ccccc1,0.0,1,,0.0,unique_keep,94.11299999999999,1.3921999999999999,20.23,1,1,0,1,1,7,0.0
2-aminoanthracene,Nc1ccc2cc3ccccc3cc2c1,-5.17,1,,0.0,unique_keep,193.249,3.5752000000000015,26.02,1,1,0,3,3,15,0.0
theobromine,Cn1cnc2c1c(=O)[nH]c(=O)n2C,-2.523,1,,0.0,unique_keep,180.16699999999997,-1.0397,72.68,1,3,0,2,2,13,0.2857142857142857
Isoquinoline,c1ccc2cnccc2c1,-1.45,1,,0.0,unique_keep,129.16199999999998,2.2348,12.89,0,1,0,2,2,10,0.0
Anilofos,COP(=S)(OC)SCC(=O)N(c1ccc(Cl)cc1)C(C)C,-4.432,1,,0.0,unique_keep,367.86,4.331900000000004,38.77,0,5,7,1,1,21,0.46153846153846156
Hexylbenzene ,CCCCCCc1ccccc1,-5.21,1,,0.0,unique_keep,162.276,3.809400000000003,0.0,0,0,5,1,1,12,0.5
2-Chlorobiphenyl,Clc1ccccc1-c1ccccc1,-4.54,1,,0.0,unique_keep,188.657,4.007000000000002,0.0,0,0,1,2,2,13,0.0
2-Methyl-1-Pentene,C=C(C)CCC,-3.03,1,,0.0,unique_keep,84.16199999999999,2.3626000000000005,0.0,0,0,2,0,0,6,0.6666666666666666
"2,3,4-Trimethylpentane",CC(C)C(C)C(C)C,-4.8,1,,0.0,unique_keep,114.23199999999999,2.9345000000000017,0.0,0,0,2,0,0,8,1.0
Pentachlorobenzene,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,-5.65,1,,0.0,unique_keep,250.339,4.9536,0.0,0,0,0,1,1,11,0.0
m-Nitrophenol,O=[N+]([O-])c1cccc(O)c1,-1.01,1,,0.0,unique_keep,139.10999999999999,1.3004,63.370000000000005,1,3,1,1,1,10,0.0
1-Decene,C=CCCCCCCCC,-5.51,1,,0.0,unique_keep,140.27,3.9230000000000027,0.0,0,0,7,0,0,10,0.8
Glyceryl triacetate,CC(=O)OCC(COC(C)=O)OC(C)=O,-0.6,1,,0.0,unique_keep,218.20499999999998,0.044299999999999784,78.9,0,6,5,0,0,15,0.6666666666666666
dimethirimol,CCCCc1c(C)nc(N(C)C)nc1O,-2.24,1,,0.0,unique_keep,209.29299999999998,1.8992200000000001,49.25,1,4,4,1,1,15,0.6363636363636364
Cyfluthrin,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1,-7.337000000000001,1,,0.0,unique_keep,434.29400000000015,6.317080000000003,59.32000000000001,0,4,6,3,2,29,0.2727272727272727
Pyridine,c1ccncc1,0.76,1,,0.0,unique_keep,79.10199999999998,1.0816,12.89,0,1,0,1,1,6,0.0
1-Bromoheptane,CCCCCCCBr,-4.43,1,,0.0,unique_keep,179.101,3.351700000000002,0.0,0,0,5,0,0,8,1.0
"3,4-Dimethylpyridine",Cc1ccncc1C,0.36,1,,0.0,unique_keep,107.15599999999999,1.69844,12.89,0,1,0,1,1,8,0.2857142857142857
Fludrocortisone,CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F,-3.43,1,,0.0,unique_keep,380.45600000000013,1.8737,94.83,3,5,2,4,0,27,0.8095238095238095
ethiofencarb,CCSCc1ccccc1OC(=O)NC,-2.09,1,,0.0,unique_keep,225.313,2.6579000000000006,38.33,1,3,4,1,1,15,0.36363636363636365
Malonic acid diethylester,CCOC(=O)CC(=O)OCC,-0.82,1,,0.0,unique_keep,160.16899999999998,0.5027,52.60000000000001,0,4,4,0,0,11,0.7142857142857143
d-Limonene,C=C(C)C1CC=C(C)CC1,-4.26,1,,0.0,unique_keep,136.23799999999997,3.308900000000002,0.0,0,0,1,1,0,10,0.6
Indan,c1ccc2c(c1)CCC2,-3.04,1,,0.0,unique_keep,118.17899999999999,2.1753,0.0,0,0,0,2,1,9,0.3333333333333333
p-t-Butylphenol,CC(C)(C)c1ccc(O)cc1,-2.41,1,,0.0,unique_keep,150.22099999999998,2.689700000000001,20.23,1,1,0,1,1,11,0.4
Cyclopropyl-5-spirobarbituric acid,O=C1NC(=O)C2(CC2)C(=O)N1,-1.886,1,,0.0,unique_keep,154.125,-0.8674000000000002,75.27,2,3,0,2,0,11,0.5
m-Chloroiodobenzene,Clc1cccc(I)c1,-3.55,1,,0.0,unique_keep,238.45499999999998,2.9446000000000003,0.0,0,0,0,1,1,8,0.0
1-Bromonapthalene,Brc1cccc2ccccc12,-4.35,1,,0.0,unique_keep,207.07,3.6023000000000014,0.0,0,0,0,2,2,11,0.0
trans-2-Pentene ,C/C=C/CC,-2.54,1,,0.0,unique_keep,70.135,1.9725,0.0,0,0,1,0,0,5,0.6
"2,6-Dimethylpyridine",Cc1cccc(C)n1,0.45,1,,0.0,unique_keep,107.156,1.69844,12.89,0,1,0,1,1,8,0.2857142857142857
Trichloroethylene,ClC=C(Cl)Cl,-1.96,1,,0.0,unique_keep,131.389,2.5017000000000005,0.0,0,0,0,0,0,5,0.0
1-Napthylamine,Nc1cccc2ccccc12,-1.92,1,,0.0,unique_keep,143.189,2.4220000000000006,26.02,1,1,0,2,2,11,0.0
m-Xylene ,Cc1cccc(C)c1,-2.82,1,,0.0,unique_keep,106.16799999999999,2.30344,0.0,0,0,0,1,1,8,0.25
2-hydroxypteridine,Oc1ncc2nccnc2n1,-1.947,1,,0.0,unique_keep,148.125,0.1253999999999998,71.79,1,5,0,2,2,11,0.0
Methanol,CO,1.57,1,,0.0,unique_keep,32.042,-0.3915,20.23,1,1,0,0,0,2,1.0
Amobarbital|5-Ethyl-5-(3-methylbutyl)barbital,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-2.563,2,0.134350288425444,0.1899999999999999,duplicate_aggregated,226.27599999999998,1.1849999999999998,75.27000000000001,2,3,4,1,0,16,0.7272727272727273
2-Butanone,CCC(C)=O,0.52,1,,0.0,unique_keep,72.10699999999999,0.9854,17.07,0,1,1,0,0,5,0.75
5-fluorouracil,O=c1[nH]cc(F)c(=O)[nH]1,-1.077,1,,0.0,unique_keep,130.078,-0.7977000000000001,65.72,2,2,0,1,1,9,0.0
tubercidin,Nc1ncnc2c1ccn2C1OC(CO)C(O)C1O,-1.95,1,,0.0,unique_keep,266.25699999999995,-1.3750000000000007,126.65,4,7,2,3,2,19,0.45454545454545453
"1,3-Benzenediol",Oc1cccc(O)c1,0.81,1,,0.0,unique_keep,110.11199999999998,1.0977999999999999,40.46,2,2,0,1,1,8,0.0
1-Hexanol,CCCCCCO,-1.24,1,,0.0,unique_keep,102.17699999999999,1.559,20.23,1,1,4,0,0,7,1.0
1-Chloropentane,CCCCCCl,-2.73,1,,0.0,unique_keep,106.596,2.415400000000001,0.0,0,0,3,0,0,6,1.0
"1,3-Butadiene",C=CC=C,-1.87,1,,0.0,unique_keep,54.09199999999999,1.3584,0.0,0,0,1,0,0,4,0.0
Propyl acetate,CCCOC(C)=O,-0.72,1,,0.0,unique_keep,102.13299999999998,0.9595,26.3,0,2,2,0,0,7,0.8
"5,6,7,8-tetrahydro-2-naphthol",Oc1ccc2c(c1)CCCC2,-1.99,1,,0.0,unique_keep,148.20499999999998,2.271,20.23,1,1,0,2,1,11,0.4
chloroacetamide,NC(=O)CCl,-0.02,1,,0.0,unique_keep,93.513,-0.2895000000000001,43.09,1,1,1,0,0,5,0.5
