compound_ids,original_smiles,canonical_smiles,measured_logS,replicate_n,replicate_std,replicate_range,curation_action
Butethal,CCCCC1(CC)C(=O)NC(=O)NC1=O,CCCCC1(CC)C(=O)NC(=O)NC1=O,-1.661,1,,0.0,unique_keep
"P,P'-DDE",ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,-6.9,1,,0.0,unique_keep
Methyl octanoate,CCCCCCCC(=O)OC,CCCCCCCC(=O)OC,-3.17,1,,0.0,unique_keep
"1,4-Diethylbenzene ",CCc1ccc(CC)cc1,CCc1ccc(CC)cc1,-3.75,1,,0.0,unique_keep
Terbufos,CCOP(=S)(OCC)SCSC(C)(C)C,CCOP(=S)(OCC)SCSC(C)(C)C,-4.755,1,,0.0,unique_keep
Phenmedipham,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,-4.805,1,,0.0,unique_keep
"1,1-Dichloroethylene",ClC(=C)Cl,C=C(Cl)Cl,-1.64,1,,0.0,unique_keep
1-Methylfluorene,Cc1cccc2c1Cc3ccccc32,Cc1cccc2c1Cc1ccccc1-2,-5.22,1,,0.0,unique_keep
Valeraldehyde,CCCCC=O,CCCCC=O,-0.85,1,,0.0,unique_keep
Diphenylamine,N(c1ccccc1)c2ccccc2,c1ccc(Nc2ccccc2)cc1,-3.504,1,,0.0,unique_keep
Fenothiocarb,CN(C)C(=O)SCCCCOc1ccccc1,CN(C)C(=O)SCCCCOc1ccccc1,-3.927,1,,0.0,unique_keep
Piperophos,CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,-4.15,1,,0.0,unique_keep
1-Iodoheptane,CCCCCCCI,CCCCCCCI,-4.81,1,,0.0,unique_keep
3-Chlorobiphenyl,c1c(Cl)cccc1c2ccccc2,Clc1cccc(-c2ccccc2)c1,-4.88,1,,0.0,unique_keep
4-Pentene-1-ol,OCCCC=C,C=CCCCO,-0.15,1,,0.0,unique_keep
Cyclobutyl-5-spirobarbituric acid,O=C2NC(=O)C1(CCC1)C(=O)N2,O=C1NC(=O)C2(CCC2)C(=O)N1,-1.655,1,,0.0,unique_keep
menthol,CC(C)C1CCC(C)CC1O ,CC1CCC(C(C)C)C(O)C1,-2.53,1,,0.0,unique_keep
Isopropyl formate,CC(C)OC=O,CC(C)OC=O,-0.63,1,,0.0,unique_keep
2-Heptanol ,CCCCCC(C)O,CCCCCC(C)O,-1.55,1,,0.0,unique_keep
p-Bromoacetanilide,CC(=O)Nc1ccc(Br)cc1,CC(=O)Nc1ccc(Br)cc1,-3.083,1,,0.0,unique_keep
brompyrazone,c1ccccc1n2ncc(N)c(Br)c2(=O),Nc1cnn(-c2ccccc2)c(=O)c1Br,-3.127,1,,0.0,unique_keep
nifedipine,COC(=O)C1=C(C)NC(=C(C1c2ccccc2N(=O)=O)C(=O)OC)C ,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],-4.76,1,,0.0,unique_keep
"2,7-dimethylquinoline",c2c(C)cc1nc(C)ccc1c2 ,Cc1ccc2ccc(C)nc2c1,-1.94,1,,0.0,unique_keep
1-Octyne ,CCCCCCC#C,C#CCCCCCC,-3.66,1,,0.0,unique_keep
cyclobarbital,CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2 ,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,-2.17,1,,0.0,unique_keep
Chrysene,c1ccc2c(c1)ccc3c4ccccc4ccc23,c1ccc2c(c1)ccc1c3ccccc3ccc21,-8.057,1,,0.0,unique_keep
Bromacil,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O ,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,-2.523,1,,0.0,unique_keep
"2,2',3,3',5,6-PCB",Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,-8.6,1,,0.0,unique_keep
2-Methylphenol,Cc1ccccc1O,Cc1ccccc1O,-0.62,1,,0.0,unique_keep
"2,2,5-Trimethylhexane",CC(C)CCC(C)(C)C,CC(C)CCC(C)(C)C,-5.05,1,,0.0,unique_keep
"1,4-Dimethylnaphthalene ",Cc1ccc(C)c2ccccc12,Cc1ccc(C)c2ccccc12,-4.14,1,,0.0,unique_keep
6-Methylchrysene,Cc1cc2c3ccccc3ccc2c4ccccc14,Cc1cc2c3ccccc3ccc2c2ccccc12,-6.57,1,,0.0,unique_keep
2-Pentanone,CCCC(=O)C,CCCC(C)=O,-0.19,1,,0.0,unique_keep
"2,2',3,3',5,5',6,6'-PCB",Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,-9.15,1,,0.0,unique_keep
Methyl butyrate,CCCOC(=O)CC,CCCOC(=O)CC,-0.82,1,,0.0,unique_keep
Triamcinolone,CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO,CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F,-3.68,1,,0.0,unique_keep
p-Aminophenol,Nc1ccc(O)cc1,Nc1ccc(O)cc1,-0.8,1,,0.0,unique_keep
Benznidazole,O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,-2.81,1,,0.0,unique_keep
"Atovaquone(0,430mg/ml) - neutral",OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O,O=C1C(O)=C(C2CCC(c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,-5.931,1,,0.0,unique_keep
Trietazine,CCNc1nc(Cl)nc(n1)N(CC)CC,CCNc1nc(Cl)nc(N(CC)CC)n1,-4.06,1,,0.0,unique_keep
Pyrazinamide,NC(=O)c1cnccn1,NC(=O)c1cnccn1,-0.667,1,,0.0,unique_keep
Carbromal,CCC(Br)(CC)C(=O)NC(N)=O,CCC(Br)(CC)C(=O)NC(N)=O,-2.68,1,,0.0,unique_keep
"2,2'-PCB",Clc1ccccc1c2ccccc2Cl ,Clc1ccccc1-c1ccccc1Cl,-5.27,1,,0.0,unique_keep
nitrofurantoin,O=C2CN(N=Cc1ccc(o1)N(=O)=O)C(=O)N2 ,O=C1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)N1,-3.38,1,,0.0,unique_keep
Nitrofen,Clc2ccc(Oc1ccc(cc1)N(=O)=O)c(Cl)c2,O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1,-5.46,1,,0.0,unique_keep
Camphor,CC1(C)C2CCC1(C)C(=O)C2,CC12CCC(CC1=O)C2(C)C,-1.96,1,,0.0,unique_keep
5-Allyl-5-phenylbarbital,O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,C=CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,-2.369,1,,0.0,unique_keep
Pentyl propanoate,CCCCC(=O)OCC,CCCCC(=O)OCC,-2.25,1,,0.0,unique_keep
Isopentyl acetate,CC(C)CCOC(=O)C,CC(=O)OCCC(C)C,-1.92,1,,0.0,unique_keep
3-Hexanoyloxymethylphenyltoin,O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,CCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-5.886,1,,0.0,unique_keep
"2,3',5-PCB",Clc1cccc(c1)c2cc(Cl)ccc2Cl ,Clc1cccc(-c2cc(Cl)ccc2Cl)c1,-6.01,1,,0.0,unique_keep
1-Bromopropane,CCCBr,CCCBr,-1.73,1,,0.0,unique_keep
Propiconazole,CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,-3.4930000000000003,1,,0.0,unique_keep
Formothion,COP(=S)(OC)SCC(=O)N(C)C=O,COP(=S)(OC)SCC(=O)N(C)C=O,-1.995,1,,0.0,unique_keep
4-methylpteridine,Cc1ncnc2nccnc12,Cc1ncnc2nccnc12,-0.466,1,,0.0,unique_keep
Thiourea,NC(=S)N,NC(N)=S,0.32,1,,0.0,unique_keep
p-Xylene ,Cc1ccc(C)cc1,Cc1ccc(C)cc1,-2.77,1,,0.0,unique_keep
"1,2-Diethylbenzene",CCc1ccccc1CC,CCc1ccccc1CC,-3.28,1,,0.0,unique_keep
Hexachloroethane,ClC(Cl)(Cl)C(Cl)(Cl)Cl,ClC(Cl)(Cl)C(Cl)(Cl)Cl,-3.67,1,,0.0,unique_keep
Flucythrinate,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1,-6.876,1,,0.0,unique_keep
1-Nitropropane,CCCN(=O)=O,CCC[N+](=O)[O-],-0.8,1,,0.0,unique_keep
Menthone,CC(C)C1CCC(C)CC1=O,CC1CCC(C(C)C)C(=O)C1,-2.35,1,,0.0,unique_keep
RTI 24,CCN2c1cc(Cl)ccc1NC(=O)c3cccnc23 ,CCN1c2cc(Cl)ccc2NC(=O)c2cccnc21,-5.36,1,,0.0,unique_keep
"2,3-Dichloronitrobenzene",O=N(=O)c1c(Cl)c(Cl)ccc1,O=[N+]([O-])c1cccc(Cl)c1Cl,-3.48,1,,0.0,unique_keep
thiamylal,CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O ,C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,-3.46,1,,0.0,unique_keep
Fluoranthene,c1ccc2c(c1)c3cccc4cccc2c34,c1ccc2c(c1)-c1cccc3cccc-2c13,-6.0,1,,0.0,unique_keep
Propylisopropylether,CCCOC(C)C,CCCOC(C)C,-1.34,1,,0.0,unique_keep
"1,3-Dimethylnaphthalene",Cc1cc(C)c2ccccc2c1,Cc1cc(C)c2ccccc2c1,-4.29,1,,0.0,unique_keep
diethylstilbestrol,CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2 ,CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,-4.07,1,,0.0,unique_keep
Chlorothalonil,c1(C#N)c(Cl)c(C#N)c(Cl)c(Cl)c(Cl)1,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,-5.64,1,,0.0,unique_keep
"2,3',4',5-PCB",Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2,Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2)c1,-7.25,1,,0.0,unique_keep
styrene oxide,C1OC1c2ccccc2 ,c1ccc(C2CO2)cc1,-1.6,1,,0.0,unique_keep
Isopropylbenzene ,CC(C)c1ccccc1,CC(C)c1ccccc1,-3.27,1,,0.0,unique_keep
Deoxycorticosterone,CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12,-3.45,1,,0.0,unique_keep
chlorquinox,c2(Cl)c(Cl)c(Cl)c1nccnc1c2(Cl) ,Clc1c(Cl)c(Cl)c2nccnc2c1Cl,-5.43,1,,0.0,unique_keep
L-arabinose,C1OC(O)C(O)C(O)C1O,OC1COC(O)C(O)C1O,0.39,1,,0.0,unique_keep
Dichloromethane,ClCCl,ClCCl,-0.63,1,,0.0,unique_keep
1-Ethylnaphthalene ,CCc1cccc2ccccc12,CCc1cccc2ccccc12,-4.17,1,,0.0,unique_keep
Methyl formate,COC=O,COC=O,0.58,1,,0.0,unique_keep
o-Nitrophenol,Oc1ccccc1N(=O)=O,O=[N+]([O-])c1ccccc1O,-1.74,1,,0.0,unique_keep
thymine,Cc1c[nH]c(=O)[nH]c1=O ,Cc1c[nH]c(=O)[nH]c1=O,-1.506,1,,0.0,unique_keep
2-Methylpropane,CC(C)C,CC(C)C,-2.55,1,,0.0,unique_keep
Inosine,OCC1OC(C(O)C1O)n2cnc3c(O)ncnc23,OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O,-1.23,1,,0.0,unique_keep
Ioxynil,Oc1c(I)cc(C#N)cc1I,N#Cc1cc(I)c(O)c(I)c1,-3.61,1,,0.0,unique_keep
Niclosamide,Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)N(=O)=O,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,-4.7,1,,0.0,unique_keep
Pentane,CCCCC,CCCCC,-3.18,1,,0.0,unique_keep
Phenol,c1ccccc1O,Oc1ccccc1,0.0,1,,0.0,unique_keep
2-aminoanthracene,Nc3ccc2cc1ccccc1cc2c3 ,Nc1ccc2cc3ccccc3cc2c1,-5.17,1,,0.0,unique_keep
theobromine,Cn1cnc2n(C)c(=O)[nH]c(=O)c12 ,Cn1cnc2c1c(=O)[nH]c(=O)n2C,-2.523,1,,0.0,unique_keep
Isoquinoline,c1ccc2cnccc2c1,c1ccc2cnccc2c1,-1.45,1,,0.0,unique_keep
Anilofos,COP(=S)(OC)SCC(=O)N(C(C)C)c1ccc(Cl)cc1,COP(=S)(OC)SCC(=O)N(c1ccc(Cl)cc1)C(C)C,-4.432,1,,0.0,unique_keep
Hexylbenzene ,CCCCCCc1ccccc1,CCCCCCc1ccccc1,-5.21,1,,0.0,unique_keep
2-Chlorobiphenyl,Clc1ccccc1c2ccccc2,Clc1ccccc1-c1ccccc1,-4.54,1,,0.0,unique_keep
2-Methyl-1-Pentene,CCCC(=C)C,C=C(C)CCC,-3.03,1,,0.0,unique_keep
"2,3,4-Trimethylpentane",CC(C)C(C)C(C)C,CC(C)C(C)C(C)C,-4.8,1,,0.0,unique_keep
Pentachlorobenzene,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,-5.65,1,,0.0,unique_keep
m-Nitrophenol,Oc1cccc(c1)N(=O)=O,O=[N+]([O-])c1cccc(O)c1,-1.01,1,,0.0,unique_keep
1-Decene,CCCCCCCCC=C,C=CCCCCCCCC,-5.51,1,,0.0,unique_keep
Glyceryl triacetate,CC(=O)OCC(COC(=O)C)OC(=O)C,CC(=O)OCC(COC(C)=O)OC(C)=O,-0.6,1,,0.0,unique_keep
dimethirimol,CCCCc1c(C)nc(nc1O)N(C)C ,CCCCc1c(C)nc(N(C)C)nc1O,-2.24,1,,0.0,unique_keep
Cyfluthrin,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1,-7.337000000000001,1,,0.0,unique_keep
Pyridine,c1ccncc1,c1ccncc1,0.76,1,,0.0,unique_keep
1-Bromoheptane,CCCCCCCBr,CCCCCCCBr,-4.43,1,,0.0,unique_keep
"3,4-Dimethylpyridine",Cc1ccncc1C,Cc1ccncc1C,0.36,1,,0.0,unique_keep
Fludrocortisone,CC34CC(O)C1(F)C(CCC2=CC(=O)CCC12C)C3CCC4(O)C(=O)CO ,CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F,-3.43,1,,0.0,unique_keep
ethiofencarb,CCSCc1ccccc1OC(=O)NC ,CCSCc1ccccc1OC(=O)NC,-2.09,1,,0.0,unique_keep
Malonic acid diethylester,CCOC(=O)CC(=O)OCC,CCOC(=O)CC(=O)OCC,-0.82,1,,0.0,unique_keep
d-Limonene,CC1=CCC(CC1)C(C)=C,C=C(C)C1CC=C(C)CC1,-4.26,1,,0.0,unique_keep
Indan,C1Cc2ccccc2C1,c1ccc2c(c1)CCC2,-3.04,1,,0.0,unique_keep
p-t-Butylphenol,CC(C)(C)c1ccc(O)cc1,CC(C)(C)c1ccc(O)cc1,-2.41,1,,0.0,unique_keep
Cyclopropyl-5-spirobarbituric acid,O=C2NC(=O)C1(CC1)C(=O)N2 ,O=C1NC(=O)C2(CC2)C(=O)N1,-1.886,1,,0.0,unique_keep
m-Chloroiodobenzene,Clc1cccc(I)c1,Clc1cccc(I)c1,-3.55,1,,0.0,unique_keep
1-Bromonapthalene,Brc1cccc2ccccc12,Brc1cccc2ccccc12,-4.35,1,,0.0,unique_keep
trans-2-Pentene ,CC/C=C/C,C/C=C/CC,-2.54,1,,0.0,unique_keep
"2,6-Dimethylpyridine",Cc1cccc(C)n1,Cc1cccc(C)n1,0.45,1,,0.0,unique_keep
Trichloroethylene,ClC=C(Cl)Cl,ClC=C(Cl)Cl,-1.96,1,,0.0,unique_keep
1-Napthylamine,Nc1cccc2ccccc12,Nc1cccc2ccccc12,-1.92,1,,0.0,unique_keep
m-Xylene ,Cc1cccc(C)c1,Cc1cccc(C)c1,-2.82,1,,0.0,unique_keep
2-hydroxypteridine,Oc2ncc1nccnc1n2,Oc1ncc2nccnc2n1,-1.947,1,,0.0,unique_keep
Methanol,CO,CO,1.57,1,,0.0,unique_keep
Amobarbital|5-Ethyl-5-(3-methylbutyl)barbital,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O|O=C1NC(=O)NC(=O)C1(CC)CCC(C)C,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-2.5629999999999997,2,0.134350288425444,0.18999999999999995,duplicate_aggregated
2-Butanone,CCC(=O)C,CCC(C)=O,0.52,1,,0.0,unique_keep
5-fluorouracil,Fc1c[nH]c(=O)[nH]c1=O ,O=c1[nH]cc(F)c(=O)[nH]1,-1.077,1,,0.0,unique_keep
tubercidin,Nc1ncnc2n(ccc12)C3OC(CO)C(O)C3O ,Nc1ncnc2c1ccn2C1OC(CO)C(O)C1O,-1.95,1,,0.0,unique_keep
"1,3-Benzenediol",Oc1cccc(O)c1,Oc1cccc(O)c1,0.81,1,,0.0,unique_keep
1-Hexanol,CCCCCCO,CCCCCCO,-1.24,1,,0.0,unique_keep
1-Chloropentane,CCCCCCl,CCCCCCl,-2.73,1,,0.0,unique_keep
"1,3-Butadiene",C=CC=C,C=CC=C,-1.87,1,,0.0,unique_keep
Propyl acetate,CCCOC(=O)C,CCCOC(C)=O,-0.72,1,,0.0,unique_keep
"5,6,7,8-tetrahydro-2-naphthol",Oc2ccc1CCCCc1c2 ,Oc1ccc2c(c1)CCCC2,-1.99,1,,0.0,unique_keep
chloroacetamide,NC(=O)CCl ,NC(=O)CCl,-0.02,1,,0.0,unique_keep
Iodofenphos,COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,-6.62,1,,0.0,unique_keep
4-Chlorotoluene,Cc1ccc(Cl)cc1,Cc1ccc(Cl)cc1,-3.08,1,,0.0,unique_keep
Metribuzin,CSc1nnc(c(=O)n1N)C(C)(C)C,CSc1nnc(C(C)(C)C)c(=O)n1N,-2.253,1,,0.0,unique_keep
Tricresyl phosphate,Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc3ccccc3C)cc1,Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc2ccccc2C)cc1,-6.01,1,,0.0,unique_keep
Caproaldehyde,CCCCCC=O,CCCCCC=O,-1.3,1,,0.0,unique_keep
Butamben,CCCCOC(=O)c1ccc(N)cc1,CCCCOC(=O)c1ccc(N)cc1,-3.082,1,,0.0,unique_keep
RTI 3,O2c1cc(C)ccc1N(C)C(=O)c3cc(N)cnc23 ,Cc1ccc2c(c1)Oc1ncc(N)cc1C(=O)N2C,-3.043,1,,0.0,unique_keep
Nerol,CC(C)=CCC/C(C)=C\CO,CC(C)=CCC/C(C)=C\CO,-2.46,1,,0.0,unique_keep
"2,4'-PCB",Clc1ccc(cc1)c2ccccc2Cl ,Clc1ccc(-c2ccccc2Cl)cc1,-5.28,1,,0.0,unique_keep
3-Octanoyloxymethylphenytoin,O=C1N(COC(=O)CCCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,CCCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-6.523,1,,0.0,unique_keep
Nitroethane,CCN(=O)=O,CC[N+](=O)[O-],-0.22,1,,0.0,unique_keep
Ethalfluralin,CCN(CC(C)=C)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-6.124,1,,0.0,unique_keep
"1,2,3,4-Tetrachlorobenzene",Clc1ccc(Cl)c(Cl)c1Cl,Clc1ccc(Cl)c(Cl)c1Cl,-4.57,1,,0.0,unique_keep
Meprobamate,CCCC(C)(COC(N)=O)COC(N)=O ,CCCC(C)(COC(N)=O)COC(N)=O,-1.807,1,,0.0,unique_keep
pregnenolone,CC(=O)C3CCC4C2CC=C1CC(O)CCC1(C)C2CCC34C ,CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,-4.65,1,,0.0,unique_keep
Iodomethane,CI,CI,-1.0,1,,0.0,unique_keep
cycloheximide,CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2 ,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,-1.13,1,,0.0,unique_keep
3-Heptanoyloxymethylphenytoin,O=C1N(COC(=O)CCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,CCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-6.301,1,,0.0,unique_keep
isophorone,CC1=CC(=O)CC(C)(C)C1 ,CC1=CC(=O)CC(C)(C)C1,-1.06,1,,0.0,unique_keep
Butabarbital,O=C1NC(=O)NC(=O)C1(CC)C(C)CC,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,-2.39,1,,0.0,unique_keep
5-Nonanone,CCCCC(=O)CCCC,CCCCC(=O)CCCC,-2.58,1,,0.0,unique_keep
Glutethimide,CCC1(CCC(=O)NC1=O)c2ccccc2 ,CCC1(c2ccccc2)CCC(=O)NC1=O,-2.337,1,,0.0,unique_keep
3-Methylpentane,CCC(C)CC,CCC(C)CC,-3.68,1,,0.0,unique_keep
Etofenprox,CCOc1ccc(cc1)C(C)(C)COCc3cccc(Oc2ccccc2)c3,CCOc1ccc(C(C)(C)COCc2cccc(Oc3ccccc3)c2)cc1,-8.6,1,,0.0,unique_keep
Methaqualone,Cc1ccccc1n3c(C)nc2ccccc2c3=O,Cc1ccccc1-n1c(C)nc2ccccc2c1=O,-2.925,1,,0.0,unique_keep
Chloroacetonitrile,ClCC#N,N#CCCl,-0.092,1,,0.0,unique_keep
Trichloronate,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,-5.752000000000001,1,,0.0,unique_keep
Ethisterone,CC12CCC(=O)C=C1CCC3C2CCC4(C)C3CCC4(O)C#C ,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-5.66,1,,0.0,unique_keep
Pyridazine,c1ccnnc1,c1ccnnc1,1.1,1,,0.0,unique_keep
"1,2,3,5-Tetrachlorobenzene",Clc1cc(Cl)c(Cl)c(Cl)c1,Clc1cc(Cl)c(Cl)c(Cl)c1,-4.63,1,,0.0,unique_keep
