canonical_smiles,n_source_records,label_min,label_max,label_range,action
C=C(Cl)Cl,1,-1.64,-1.64,0.0,keep_unique
Cc1cccc2c1Cc1ccccc1-2,1,-5.22,-5.22,0.0,keep_unique
CCCCC=O,1,-0.85,-0.85,0.0,keep_unique
c1ccc(Nc2ccccc2)cc1,1,-3.504,-3.504,0.0,keep_unique
CN(C)C(=O)SCCCCOc1ccccc1,1,-3.927,-3.927,0.0,keep_unique
CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,1,-4.15,-4.15,0.0,keep_unique
CCCCCCCI,1,-4.81,-4.81,0.0,keep_unique
Clc1cccc(-c2ccccc2)c1,1,-4.88,-4.88,0.0,keep_unique
C=CCCCO,1,-0.15,-0.15,0.0,keep_unique
O=C1NC(=O)C2(CCC2)C(=O)N1,1,-1.655,-1.655,0.0,keep_unique
CC1CCC(C(C)C)C(O)C1,1,-2.53,-2.53,0.0,keep_unique
CC(C)OC=O,1,-0.63,-0.63,0.0,keep_unique
CCCCCC(C)O,1,-1.55,-1.55,0.0,keep_unique
CC(=O)Nc1ccc(Br)cc1,1,-3.083,-3.083,0.0,keep_unique
Nc1cnn(-c2ccccc2)c(=O)c1Br,1,-3.127,-3.127,0.0,keep_unique
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],1,-4.76,-4.76,0.0,keep_unique
Cc1ccc2ccc(C)nc2c1,1,-1.94,-1.94,0.0,keep_unique
C#CCCCCCC,1,-3.66,-3.66,0.0,keep_unique
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,1,-2.17,-2.17,0.0,keep_unique
c1ccc2c(c1)ccc1c3ccccc3ccc21,1,-8.057,-8.057,0.0,keep_unique
CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,1,-2.523,-2.523,0.0,keep_unique
Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,1,-8.6,-8.6,0.0,keep_unique
Cc1ccccc1O,1,-0.62,-0.62,0.0,keep_unique
CC(C)CCC(C)(C)C,1,-5.05,-5.05,0.0,keep_unique
Cc1ccc(C)c2ccccc12,1,-4.14,-4.14,0.0,keep_unique
Cc1cc2c3ccccc3ccc2c2ccccc12,1,-6.57,-6.57,0.0,keep_unique
CCCC(C)=O,1,-0.19,-0.19,0.0,keep_unique
Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,1,-9.15,-9.15,0.0,keep_unique
CCCOC(=O)CC,1,-0.82,-0.82,0.0,keep_unique
CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F,1,-3.68,-3.68,0.0,keep_unique
Nc1ccc(O)cc1,1,-0.8,-0.8,0.0,keep_unique
O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,1,-2.81,-2.81,0.0,keep_unique
O=C1C(O)=C(C2CCC(c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,1,-5.931,-5.931,0.0,keep_unique
CCNc1nc(Cl)nc(N(CC)CC)n1,1,-4.06,-4.06,0.0,keep_unique
NC(=O)c1cnccn1,1,-0.667,-0.667,0.0,keep_unique
CCC(Br)(CC)C(=O)NC(N)=O,1,-2.68,-2.68,0.0,keep_unique
Clc1ccccc1-c1ccccc1Cl,1,-5.27,-5.27,0.0,keep_unique
O=C1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)N1,1,-3.38,-3.38,0.0,keep_unique
O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1,1,-5.46,-5.46,0.0,keep_unique
CC12CCC(CC1=O)C2(C)C,1,-1.96,-1.96,0.0,keep_unique
C=CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,1,-2.369,-2.369,0.0,keep_unique
CCCCC(=O)OCC,1,-2.25,-2.25,0.0,keep_unique
CC(=O)OCCC(C)C,1,-1.92,-1.92,0.0,keep_unique
CCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,1,-5.886,-5.886,0.0,keep_unique
Clc1cccc(-c2cc(Cl)ccc2Cl)c1,1,-6.01,-6.01,0.0,keep_unique
CCCBr,1,-1.73,-1.73,0.0,keep_unique
CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,1,-3.4930000000000003,-3.4930000000000003,0.0,keep_unique
COP(=S)(OC)SCC(=O)N(C)C=O,1,-1.995,-1.995,0.0,keep_unique
Cc1ncnc2nccnc12,1,-0.466,-0.466,0.0,keep_unique
NC(N)=S,1,0.32,0.32,0.0,keep_unique
Cc1ccc(C)cc1,1,-2.77,-2.77,0.0,keep_unique
CCc1ccccc1CC,1,-3.28,-3.28,0.0,keep_unique
ClC(Cl)(Cl)C(Cl)(Cl)Cl,1,-3.67,-3.67,0.0,keep_unique
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1,1,-6.876,-6.876,0.0,keep_unique
CCC[N+](=O)[O-],1,-0.8,-0.8,0.0,keep_unique
CC1CCC(C(C)C)C(=O)C1,1,-2.35,-2.35,0.0,keep_unique
CCN1c2cc(Cl)ccc2NC(=O)c2cccnc21,1,-5.36,-5.36,0.0,keep_unique
O=[N+]([O-])c1cccc(Cl)c1Cl,1,-3.48,-3.48,0.0,keep_unique
C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,1,-3.46,-3.46,0.0,keep_unique
c1ccc2c(c1)-c1cccc3cccc-2c13,1,-6.0,-6.0,0.0,keep_unique
CCCOC(C)C,1,-1.34,-1.34,0.0,keep_unique
Cc1cc(C)c2ccccc2c1,1,-4.29,-4.29,0.0,keep_unique
CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,1,-4.07,-4.07,0.0,keep_unique
N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,1,-5.64,-5.64,0.0,keep_unique
Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2)c1,1,-7.25,-7.25,0.0,keep_unique
c1ccc(C2CO2)cc1,1,-1.6,-1.6,0.0,keep_unique
CC(C)c1ccccc1,1,-3.27,-3.27,0.0,keep_unique
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12,1,-3.45,-3.45,0.0,keep_unique
Clc1c(Cl)c(Cl)c2nccnc2c1Cl,1,-5.43,-5.43,0.0,keep_unique
OC1COC(O)C(O)C1O,1,0.39,0.39,0.0,keep_unique
ClCCl,1,-0.63,-0.63,0.0,keep_unique
CCc1cccc2ccccc12,1,-4.17,-4.17,0.0,keep_unique
COC=O,1,0.58,0.58,0.0,keep_unique
O=[N+]([O-])c1ccccc1O,1,-1.74,-1.74,0.0,keep_unique
Cc1c[nH]c(=O)[nH]c1=O,1,-1.506,-1.506,0.0,keep_unique
CC(C)C,1,-2.55,-2.55,0.0,keep_unique
OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O,1,-1.23,-1.23,0.0,keep_unique
N#Cc1cc(I)c(O)c(I)c1,1,-3.61,-3.61,0.0,keep_unique
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,1,-4.7,-4.7,0.0,keep_unique
CCCCC,1,-3.18,-3.18,0.0,keep_unique
Oc1ccccc1,1,0.0,0.0,0.0,keep_unique
Nc1ccc2cc3ccccc3cc2c1,1,-5.17,-5.17,0.0,keep_unique
Cn1cnc2c1c(=O)[nH]c(=O)n2C,1,-2.523,-2.523,0.0,keep_unique
c1ccc2cnccc2c1,1,-1.45,-1.45,0.0,keep_unique
COP(=S)(OC)SCC(=O)N(c1ccc(Cl)cc1)C(C)C,1,-4.432,-4.432,0.0,keep_unique
CCCCCCc1ccccc1,1,-5.21,-5.21,0.0,keep_unique
Clc1ccccc1-c1ccccc1,1,-4.54,-4.54,0.0,keep_unique
C=C(C)CCC,1,-3.03,-3.03,0.0,keep_unique
CC(C)C(C)C(C)C,1,-4.8,-4.8,0.0,keep_unique
Clc1cc(Cl)c(Cl)c(Cl)c1Cl,1,-5.65,-5.65,0.0,keep_unique
O=[N+]([O-])c1cccc(O)c1,1,-1.01,-1.01,0.0,keep_unique
C=CCCCCCCCC,1,-5.51,-5.51,0.0,keep_unique
CC(=O)OCC(COC(C)=O)OC(C)=O,1,-0.6,-0.6,0.0,keep_unique
CCCCc1c(C)nc(N(C)C)nc1O,1,-2.24,-2.24,0.0,keep_unique
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1,1,-7.337000000000001,-7.337000000000001,0.0,keep_unique
c1ccncc1,1,0.76,0.76,0.0,keep_unique
CCCCCCCBr,1,-4.43,-4.43,0.0,keep_unique
Cc1ccncc1C,1,0.36,0.36,0.0,keep_unique
CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F,1,-3.43,-3.43,0.0,keep_unique
CCSCc1ccccc1OC(=O)NC,1,-2.09,-2.09,0.0,keep_unique
CCOC(=O)CC(=O)OCC,1,-0.82,-0.82,0.0,keep_unique
C=C(C)C1CC=C(C)CC1,1,-4.26,-4.26,0.0,keep_unique
c1ccc2c(c1)CCC2,1,-3.04,-3.04,0.0,keep_unique
CC(C)(C)c1ccc(O)cc1,1,-2.41,-2.41,0.0,keep_unique
O=C1NC(=O)C2(CC2)C(=O)N1,1,-1.886,-1.886,0.0,keep_unique
Clc1cccc(I)c1,1,-3.55,-3.55,0.0,keep_unique
Brc1cccc2ccccc12,1,-4.35,-4.35,0.0,keep_unique
C/C=C/CC,1,-2.54,-2.54,0.0,keep_unique
Cc1cccc(C)n1,1,0.45,0.45,0.0,keep_unique
ClC=C(Cl)Cl,1,-1.96,-1.96,0.0,keep_unique
Nc1cccc2ccccc12,1,-1.92,-1.92,0.0,keep_unique
Cc1cccc(C)c1,1,-2.82,-2.82,0.0,keep_unique
Oc1ncc2nccnc2n1,1,-1.947,-1.947,0.0,keep_unique
CO,1,1.57,1.57,0.0,keep_unique
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,2,-2.658,-2.468,0.18999999999999995,aggregate_duplicates
CCC(C)=O,1,0.52,0.52,0.0,keep_unique
O=c1[nH]cc(F)c(=O)[nH]1,1,-1.077,-1.077,0.0,keep_unique
Nc1ncnc2c1ccn2C1OC(CO)C(O)C1O,1,-1.95,-1.95,0.0,keep_unique
Oc1cccc(O)c1,1,0.81,0.81,0.0,keep_unique
CCCCCCO,1,-1.24,-1.24,0.0,keep_unique
CCCCCCl,1,-2.73,-2.73,0.0,keep_unique
C=CC=C,1,-1.87,-1.87,0.0,keep_unique
CCCOC(C)=O,1,-0.72,-0.72,0.0,keep_unique
Oc1ccc2c(c1)CCCC2,1,-1.99,-1.99,0.0,keep_unique
NC(=O)CCl,1,-0.02,-0.02,0.0,keep_unique
COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,1,-6.62,-6.62,0.0,keep_unique
Cc1ccc(Cl)cc1,1,-3.08,-3.08,0.0,keep_unique
CSc1nnc(C(C)(C)C)c(=O)n1N,1,-2.253,-2.253,0.0,keep_unique
Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc2ccccc2C)cc1,1,-6.01,-6.01,0.0,keep_unique
CCCCCC=O,1,-1.3,-1.3,0.0,keep_unique
CCCCOC(=O)c1ccc(N)cc1,1,-3.082,-3.082,0.0,keep_unique
Cc1ccc2c(c1)Oc1ncc(N)cc1C(=O)N2C,1,-3.043,-3.043,0.0,keep_unique
CC(C)=CCC/C(C)=C\CO,1,-2.46,-2.46,0.0,keep_unique
Clc1ccc(-c2ccccc2Cl)cc1,1,-5.28,-5.28,0.0,keep_unique
CCCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,1,-6.523,-6.523,0.0,keep_unique
CC[N+](=O)[O-],1,-0.22,-0.22,0.0,keep_unique
C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],1,-6.124,-6.124,0.0,keep_unique
Clc1ccc(Cl)c(Cl)c1Cl,1,-4.57,-4.57,0.0,keep_unique
CCCC(C)(COC(N)=O)COC(N)=O,1,-1.807,-1.807,0.0,keep_unique
CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,1,-4.65,-4.65,0.0,keep_unique
CI,1,-1.0,-1.0,0.0,keep_unique
CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,1,-1.13,-1.13,0.0,keep_unique
CCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,1,-6.301,-6.301,0.0,keep_unique
CC1=CC(=O)CC(C)(C)C1,1,-1.06,-1.06,0.0,keep_unique
CCC(C)C1(CC)C(=O)NC(=O)NC1=O,1,-2.39,-2.39,0.0,keep_unique
CCCCC(=O)CCCC,1,-2.58,-2.58,0.0,keep_unique
CCC1(c2ccccc2)CCC(=O)NC1=O,1,-2.337,-2.337,0.0,keep_unique
CCC(C)CC,1,-3.68,-3.68,0.0,keep_unique
CCOc1ccc(C(C)(C)COCc2cccc(Oc3ccccc3)c2)cc1,1,-8.6,-8.6,0.0,keep_unique
Cc1ccccc1-n1c(C)nc2ccccc2c1=O,1,-2.925,-2.925,0.0,keep_unique
N#CCCl,1,-0.092,-0.092,0.0,keep_unique
CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,1,-5.752000000000001,-5.752000000000001,0.0,keep_unique
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,1,-5.66,-5.66,0.0,keep_unique
c1ccnnc1,1,1.1,1.1,0.0,keep_unique
Clc1cc(Cl)c(Cl)c(Cl)c1,1,-4.63,-4.63,0.0,keep_unique
CC1COC2CC3(C)C(CC4C5C=C6CC(O)CCC6(C)CC5CCC43C)OC2C1,1,-7.32,-7.32,0.0,keep_unique
Nc1ccccc1O,1,-0.72,-0.72,0.0,keep_unique
CCCCCCCCC(=O)OCC,1,-3.8,-3.8,0.0,keep_unique
COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC,1,-1.601,-1.601,0.0,keep_unique
CNC(=O)Oc1ccccc1OC(C)C,1,-2.05,-2.05,0.0,keep_unique
CCC(C)Cl,1,-1.96,-1.96,0.0,keep_unique
Oc1ccc2ccccc2c1,1,-2.28,-2.28,0.0,keep_unique
CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl,1,-5.696000000000001,-5.696000000000001,0.0,keep_unique
C#CCCCC,1,-2.36,-2.36,0.0,keep_unique
C#CCCCCCCC,1,-4.24,-4.24,0.0,keep_unique
Cc1ccccc1Cl,1,-3.52,-3.52,0.0,keep_unique
CC(C)OC(C)C,1,-1.1,-1.1,0.0,keep_unique
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,1,-3.094,-3.094,0.0,keep_unique
CNN,1,1.34,1.34,0.0,keep_unique
C#CC,1,-0.41,-0.41,0.0,keep_unique
CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,1,-4.862,-4.862,0.0,keep_unique
CCNP(=S)(OC)OC(C)=CC(=O)OC(C)C,1,-3.408,-3.408,0.0,keep_unique
C=CC=O,1,0.57,0.57,0.0,keep_unique
O=c1[nH]cnc2nc[nH]c12,1,-2.296,-2.296,0.0,keep_unique
Oc1ccc2ncccc2c1,1,-2.16,-2.16,0.0,keep_unique
Fc1ccccc1,1,-1.8,-1.8,0.0,keep_unique
CCCCl,1,-1.47,-1.47,0.0,keep_unique
CCOC(C)=O,1,-0.04,-0.04,0.0,keep_unique
CCCC(C)(C)C,1,-4.36,-4.36,0.0,keep_unique
Cc1cc(C)c(C)c(C)c1C,1,-4.0,-4.0,0.0,keep_unique
CC12CCC(CC1)C(C)(C)O2,2,-1.74,-1.64,0.10000000000000009,aggregate_duplicates
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,1,-3.896,-3.896,0.0,keep_unique
Clc1ccc(-c2ccc(Cl)cc2)cc1,1,-6.56,-6.56,0.0,keep_unique
Cc1cccnc1C,1,0.38,0.38,0.0,keep_unique
C=C(C)C1CC=C(C)C(=O)C1,1,-2.06,-2.06,0.0,keep_unique
CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,1,-5.736000000000001,-5.736000000000001,0.0,keep_unique
COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,1,-3.571,-3.571,0.0,keep_unique
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,1,-8.804,-8.804,0.0,keep_unique
Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1,-2.82,-2.82,0.0,keep_unique
Brc1ccc2ccccc2c1,2,-4.4,-4.4,0.0,aggregate_duplicates
CNC(=O)Oc1cccc(N=CN(C)C)c1,1,-2.34,-2.34,0.0,keep_unique
COc1cnc2ncncc2n1,1,-1.139,-1.139,0.0,keep_unique
Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,1,-3.19,-3.19,0.0,keep_unique
CCOP(=S)(OCC)Oc1nc(Cl)n(C(C)C)n1,1,-3.658,-3.658,0.0,keep_unique
C=CC(=C)C,1,-2.03,-2.03,0.0,keep_unique
C=CC(C)(O)CCC=C(C)C,1,-1.99,-1.99,0.0,keep_unique
COP(=S)(OC)Oc1ccc(SC)c(C)c1,1,-4.57,-4.57,0.0,keep_unique
OC1CCCCC1,1,-0.44,-0.44,0.0,keep_unique
C=CCC1(C)C(=O)NC(=O)NC1=O,1,-1.16,-1.16,0.0,keep_unique
CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,2,-4.402,-4.16,0.242,aggregate_duplicates
OCC(O)C(O)C(O)C(O)CO,2,0.06,1.09,1.03,exclude_conflicting_duplicate
Cc1ccc(-c2ccccc2)cc1,1,-4.62,-4.62,0.0,keep_unique
CCNc1nc(Cl)nc(NC(C)C)n1,1,-3.85,-3.85,0.0,keep_unique
NC(=S)Nc1ccccc1,1,-1.77,-1.77,0.0,keep_unique
CCCC(=O)CCC,1,-1.3,-1.3,0.0,keep_unique
CC(=O)C(C)(C)C,1,-0.72,-0.72,0.0,keep_unique
Oc1ccc(Cl)cc1,1,-0.7,-0.7,0.0,keep_unique
O=C1CCCCC1,1,-0.6,-0.6,0.0,keep_unique
Cc1cccc(N)c1,1,-0.85,-0.85,0.0,keep_unique
N#CC(Cl)(Cl)Cl,1,-2.168,-2.168,0.0,keep_unique
CNc1cnn(-c2cccc(C(F)(F)F)c2)c(=O)c1Cl,1,-4.046,-4.046,0.0,keep_unique
CCCCCCCCC(C)=O,1,-3.3,-3.3,0.0,keep_unique
CCN(CC)c1nc(Cl)nc(NC(C)C)n1,1,-3.785,-3.785,0.0,keep_unique
CCOC(=O)c1ccc(N)cc1,1,-2.616,-2.616,0.0,keep_unique
Clc1ccc(Cl)c(Cl)c1,1,-3.59,-3.59,0.0,keep_unique
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,1,-4.09,-4.09,0.0,keep_unique
Oc1ccccc1O,1,0.62,0.62,0.0,keep_unique
CCN1c2ncccc2C(=O)N(C)c2cccnc21,1,-2.62,-2.62,0.0,keep_unique
CSC,1,-0.45,-0.45,0.0,keep_unique
Cc1ccccc1Br,1,-2.23,-2.23,0.0,keep_unique
CCOC(N)=O,1,0.85,0.85,0.0,keep_unique
CC(=O)OC1(C(C)=O)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C,1,-5.35,-5.35,0.0,keep_unique
CC(C)C(O)C(C)C,1,-1.22,-1.22,0.0,keep_unique
c1ccc2ccccc2c1,1,-3.6,-3.6,0.0,keep_unique
CCNc1ccccc1,1,-1.7,-1.7,0.0,keep_unique
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,1,-4.097,-4.097,0.0,keep_unique
Cc1c2ccccc2c(C)c2c1ccc1ccccc12,1,-7.02,-7.02,0.0,keep_unique
CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,2,-6.34,-6.34,0.0,aggregate_duplicates
COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,1,-6.89,-6.89,0.0,keep_unique
O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(F)c(Cl)c1F,1,-7.28,-7.28,0.0,keep_unique
CCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,1,-4.678,-4.678,0.0,keep_unique
CN(C)C(=O)Nc1ccc(Cl)cc1,1,-2.89,-2.89,0.0,keep_unique
OC(Cn1cncn1)(c1ccc(F)cc1)c1ccccc1F,1,-3.37,-3.37,0.0,keep_unique
CC(=O)OCC(=O)C1(O)C(OC(C)=O)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,1,-4.13,-4.13,0.0,keep_unique
CCCCBr,1,-2.37,-2.37,0.0,keep_unique
Brc1cc(Br)c(Br)cc1Br,1,-6.98,-6.98,0.0,keep_unique
CC(=O)CC(C)C,1,-0.74,-0.74,0.0,keep_unique
CCSC(=O)N(CC)C1CCCCC1,1,-3.4,-3.4,0.0,keep_unique
COc1ccc(Cl)cc1,1,-2.78,-2.78,0.0,keep_unique
CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,1,-8.402000000000001,-8.402000000000001,0.0,keep_unique
C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,1,-2.016,-2.016,0.0,keep_unique
COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,1,-4.04,-4.04,0.0,keep_unique
Ic1cccc2ccccc12,1,-4.55,-4.55,0.0,keep_unique
CCS,1,-0.6,-0.6,0.0,keep_unique
ClCC(Cl)Cl,1,-1.48,-1.48,0.0,keep_unique
Cc1cc(OC(=O)N(C)C)n(-c2ccccc2)n1,1,-2.09,-2.09,0.0,keep_unique
NC(=O)c1ccccc1O,1,-1.82,-1.82,0.0,keep_unique
Cc1ccccc1[N+](=O)[O-],1,-2.33,-2.33,0.0,keep_unique
CC(C)C1(C(C)C)C(=O)NC(=O)NC1=O,1,-2.766,-2.766,0.0,keep_unique
CCc1ccccc1C,1,-3.21,-3.21,0.0,keep_unique
CCCCCCCCl,1,-4.0,-4.0,0.0,keep_unique
CCC1(CC)C(=O)NC(=O)NC1=O,1,-2.4,-2.4,0.0,keep_unique
c1ccc(CCc2ccccc2)cc1,1,-4.62,-4.62,0.0,keep_unique
ClC(Cl)C(Cl)Cl,1,-1.74,-1.74,0.0,keep_unique
CCN1c2cc(OC)cc(C)c2NC(=O)c2cccnc21,1,-5.153,-5.153,0.0,keep_unique
Cc1ccc2c(ccc3ccccc32)c1,1,-5.84,-5.84,0.0,keep_unique
CCCCOC(=O)c1ccccc1C(=O)OCCCC,1,-4.4,-4.4,0.0,keep_unique
COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,1,-4.02,-4.02,0.0,keep_unique
CCN(CC)C(=O)C(Cl)=CCOP(=O)(OC)OC,1,0.523,0.523,0.0,keep_unique
CC12CCC3C(=CCc4cc(O)ccc43)C1CCC2=O,1,-5.282,-5.282,0.0,keep_unique
CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c1nc(Cl)cc(OC)n1,1,-4.5760000000000005,-4.5760000000000005,0.0,keep_unique
COc1ccc([N+](=O)[O-])cc1,1,-2.41,-2.41,0.0,keep_unique
CCCCCCCl,1,-3.12,-3.12,0.0,keep_unique
Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,1,-9.16,-9.16,0.0,keep_unique
OCC1OC(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,1,-0.41,-0.41,0.0,keep_unique
CCCCCCCCCCCCCCCCCCCCCCCCCC,1,-8.334,-8.334,0.0,keep_unique
CCN1c2ccccc2N(C)C(=O)c2cccnc21,1,-3.324,-3.324,0.0,keep_unique
CC(Cl)Cl,1,-1.29,-1.29,0.0,keep_unique
Nc1ccc(S(N)(=O)=O)cc1,1,-1.34,-1.34,0.0,keep_unique
CCCN(CCC)c1c([N+](=O)[O-])cc(C(C)C)cc1[N+](=O)[O-],1,-6.49,-6.49,0.0,keep_unique
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,1,-4.64,-4.64,0.0,keep_unique
CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,1,-4.194,-4.194,0.0,keep_unique
