cluster_id,split,n_molecules,mean_logS
125,train,3,-0.09100000000000001
79,train,3,-0.6733333333333333
121,train,3,-3.61
124,train,3,-3.3503333333333334
69,train,3,-0.63
74,train,3,-2.0933333333333333
110,train,3,-4.322666666666667
133,train,3,-1.195
134,train,3,-2.7866666666666666
128,train,3,-5.023333333333333
59,train,2,-6.798500000000001
33,train,2,-3.8674999999999997
227,train,2,-2.26
228,validation,2,-1.5899999999999999
57,train,2,-3.1
229,test,2,-1.2915
189,validation,2,-3.02
190,test,2,0.765
106,train,2,-5.31
120,train,2,-5.4035
75,train,2,-2.335
66,train,2,-3.755
67,train,2,-3.5149999999999997
71,train,2,-3.6195
223,test,2,-0.6500000000000001
207,validation,2,-1.88
205,train,2,-0.24
204,test,2,-4.686999999999999
202,validation,2,-2.585
214,test,2,-4.165
213,validation,2,-0.191
212,train,2,-2.785
209,test,2,-0.788
198,test,2,-3.3425000000000002
199,train,2,-3.535
195,train,2,-3.5940000000000003
196,validation,2,0.91
194,test,2,0.22999999999999998
193,validation,2,-0.9550000000000001
94,train,2,-0.825
95,train,2,-2.7105
217,train,2,-3.4699999999999998
221,validation,2,-3.16
187,train,2,-2.6945
186,test,2,-6.0295000000000005
103,train,2,-2.3135
98,train,2,-0.028500000000000025
109,train,2,-3.085
111,train,2,-1.03
115,train,2,-4.15
140,train,2,-3.9219999999999997
136,train,2,-2.1550000000000002
138,train,2,-3.8449999999999998
131,train,2,-2.1500000000000004
175,validation,2,-4.845
163,train,2,-4.615
164,train,2,-3.4855
191,train,2,-4.8625
177,train,2,-2.89
181,test,2,-0.945
179,validation,2,-4.583
145,train,2,-0.855
151,train,2,-4.895
182,train,2,-2.1325000000000003
176,test,2,1.025
183,validation,2,-3.73
170,train,2,-0.757
173,test,2,-2.545
171,train,2,-1.69
174,train,2,-3.52
21,train,2,0.8600000000000001
29,train,2,-2.21
18,train,2,-1.02
421,test,1,-1.33
384,validation,1,-4.862
385,test,1,-0.41
386,train,1,1.34
387,validation,1,-1.1
388,test,1,-7.32
389,train,1,-2.925
390,validation,1,-1.13
391,test,1,-1.0
392,train,1,-6.01
393,validation,1,-2.253
394,test,1,1.57
350,train,1,-1.77
351,validation,1,-5.4
352,test,1,-2.36
353,train,1,-3.81
354,validation,1,-4.873
355,test,1,-3.35
356,train,1,-0.36
357,validation,1,-1.84
342,validation,1,0.522
343,test,1,-1.95
344,train,1,-0.78
345,validation,1,-1.16
346,test,1,-4.571000000000001
347,train,1,-1.6
348,validation,1,-7.278
349,test,1,-3.083
334,test,1,-3.59
335,train,1,0.26
336,validation,1,-2.15
337,test,1,-1.981
338,train,1,-2.82
339,validation,1,-1.989
340,test,1,-2.84
341,train,1,-0.22
326,train,1,-2.73
327,validation,1,-4.16
328,test,1,-3.685
329,train,1,-0.79
330,validation,1,-3.53
331,test,1,-3.09
332,train,1,-0.1
333,validation,1,-2.18
117,test,1,-0.63
118,train,1,-1.94
119,validation,1,-4.36
122,test,1,1.02
126,train,1,-1.97
127,validation,1,-2.09
65,train,1,-3.74
73,validation,1,-2.05
97,train,1,-4.8
99,validation,1,-4.173
101,test,1,-0.59
102,train,1,0.46
104,validation,1,-1.01
107,test,1,-1.74
114,train,1,-1.32
116,validation,1,-4.43
167,validation,1,-3.03
169,test,1,-0.77
172,train,1,-3.953
178,validation,1,-2.34
180,test,1,-0.742
184,train,1,-1.92
185,validation,1,-4.93
188,test,1,0.38
153,test,1,-2.43
155,train,1,-4.4110000000000005
157,validation,1,-2.23
159,test,1,-2.17
160,train,1,-1.48
161,validation,1,-6.98
162,test,1,-6.89
165,train,1,-1.99
222,test,1,0.38
40,train,1,-7.82
55,train,1,-5.17
56,validation,1,-5.46
60,test,1,0.07
224,train,1,-5.696000000000001
225,validation,1,-8.6
226,test,1,-1.807
208,train,1,-4.38
210,validation,1,-0.85
211,test,1,-5.233
215,train,1,-3.952
216,validation,1,-0.95
218,test,1,-2.696
219,train,1,-4.6
220,validation,1,-7.28
92,validation,1,-3.19
93,test,1,-4.65
192,train,1,-2.82
197,validation,1,-1.52
200,test,1,-2.266
201,train,1,-6.51
203,validation,1,-1.56
206,test,1,-3.57
76,test,1,-1.62
77,train,1,-0.71
81,validation,1,-3.0
83,test,1,-3.46
86,train,1,-9.332
87,validation,1,-2.928
90,test,1,-5.507000000000001
91,train,1,-2.29
254,train,1,-5.03
255,validation,1,-3.22
256,test,1,0.15
257,train,1,-5.19
258,validation,1,-4.883
259,test,1,-2.676
260,train,1,-2.07
261,validation,1,-2.06
246,validation,1,-2.6
247,test,1,1.144
248,train,1,-3.2460000000000004
249,validation,1,-3.76
250,test,1,-2.943
251,train,1,-4.799
252,validation,1,0.35
253,test,1,-0.22
238,test,1,-3.451
239,train,1,-1.08
240,validation,1,-2.461
241,test,1,-3.61
242,train,1,-1.3
243,validation,1,-3.62
244,test,1,-2.54
245,train,1,0.32
230,train,1,-2.54
231,validation,1,-4.8
232,test,1,-1.45
233,train,1,-4.7
234,validation,1,-1.34
235,test,1,-0.8
236,train,1,-3.67
237,validation,1,-4.522
286,test,1,0.3
287,train,1,0.6509999999999999
288,validation,1,-1.85
289,test,1,0.43
290,train,1,0.009
291,validation,1,-2.7
292,test,1,-3.27
293,train,1,-2.273
278,train,1,-0.83
279,validation,1,-2.59
280,test,1,-0.4
281,train,1,0.48
282,validation,1,-1.64
283,test,1,-4.376
284,train,1,-2.58
285,validation,1,-4.314
270,validation,1,-2.16
271,test,1,-2.0
272,train,1,-0.31
273,validation,1,-5.19
274,test,1,-2.28
275,train,1,-3.59
276,validation,1,-2.39
277,test,1,-3.93
262,test,1,0.29
263,train,1,-3.88
264,validation,1,-3.79
265,test,1,-1.52
266,train,1,-1.04
267,validation,1,-0.9
268,test,1,-3.931
269,train,1,-3.583
318,validation,1,-1.46
319,test,1,-4.445
320,train,1,-4.19
321,validation,1,-2.22
322,test,1,-3.68
323,train,1,0.38
324,validation,1,-3.18
325,test,1,-1.36
310,test,1,-1.899
311,train,1,-2.8310000000000004
312,validation,1,-4.047
313,test,1,-5.82
314,train,1,-2.338
315,validation,1,-0.43
316,test,1,-2.436
317,train,1,-2.9
302,train,1,-0.807
303,validation,1,-4.38
304,test,1,-3.14
305,train,1,-1.75
306,validation,1,-0.82
307,test,1,-1.24
308,train,1,-2.24
309,validation,1,-0.4
294,validation,1,-2.56
295,test,1,-2.932
296,train,1,-5.14
297,validation,1,0.54
298,test,1,-3.638
299,train,1,-2.32
300,validation,1,-3.5380000000000003
301,test,1,-2.484
382,test,1,-1.69
383,train,1,-3.408
416,train,1,-1.64
417,validation,1,-4.593999999999999
418,test,1,1.07
419,train,1,-4.42
420,validation,1,-1.5
395,train,1,-1.96
374,train,1,0.523
375,validation,1,-2.09
376,test,1,-3.4
377,train,1,-2.168
378,validation,1,-0.6
379,test,1,-0.72
380,train,1,-1.99
381,validation,1,-3.571
366,validation,1,-4.2
367,test,1,-1.716
368,train,1,-2.596
369,validation,1,-1.4880000000000002
370,test,1,-0.24
371,train,1,-4.194
372,validation,1,-4.64
373,test,1,-4.5760000000000005
358,test,1,-2.404
359,train,1,-0.985
360,validation,1,-1.877
361,test,1,0.32
362,train,1,-3.37
363,validation,1,-6.005
364,test,1,-3.5860000000000003
365,train,1,-3.42
143,train,1,-0.5
144,validation,1,-3.38
146,test,1,-1.99
147,train,1,-4.7
148,validation,1,-1.11
149,test,1,-5.666
150,train,1,-4.22
152,validation,1,-1.59
412,test,1,-4.76
413,train,1,-0.63
414,validation,1,-2.53
415,test,1,-4.15
132,test,1,-3.84
135,train,1,-2.09
137,validation,1,-7.92
142,test,1,-2.98
404,train,1,-2.35
405,validation,1,0.32
406,test,1,-3.4930000000000003
407,train,1,-1.96
408,validation,1,-2.68
409,test,1,-5.931
410,train,1,-2.81
411,validation,1,-2.523
396,validation,1,0.45
397,test,1,0.36
398,train,1,-2.24
399,validation,1,0.58
400,test,1,0.39
401,train,1,-5.43
402,validation,1,-1.6
403,test,1,-5.64
