compound_id,smiles,measured_logS,valid_smiles,canonical_smiles,fragment_count,multi_fragment,formal_charge,molecular_weight,heavy_atom_count
menthol,CC(C)C1CCC(C)CC1O ,-2.53,True,CC1CCC(C(C)C)C(O)C1,1,False,0,156.269,11
Isopropyl formate,CC(C)OC=O,-0.63,True,CC(C)OC=O,1,False,0,88.106,6
2-Heptanol ,CCCCCC(C)O,-1.55,True,CCCCCC(C)O,1,False,0,116.20399999999998,8
p-Bromoacetanilide,CC(=O)Nc1ccc(Br)cc1,-3.083,True,CC(=O)Nc1ccc(Br)cc1,1,False,0,214.06199999999998,11
brompyrazone,c1ccccc1n2ncc(N)c(Br)c2(=O),-3.127,True,Nc1cnn(-c2ccccc2)c(=O)c1Br,1,False,0,266.098,15
nifedipine,COC(=O)C1=C(C)NC(=C(C1c2ccccc2N(=O)=O)C(=O)OC)C ,-4.76,True,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],1,False,0,346.33900000000017,25
"2,7-dimethylquinoline",c2c(C)cc1nc(C)ccc1c2 ,-1.94,True,Cc1ccc2ccc(C)nc2c1,1,False,0,157.216,12
1-Octyne ,CCCCCCC#C,-3.66,True,C#CCCCCCC,1,False,0,110.19999999999999,8
cyclobarbital,CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2 ,-2.17,True,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,1,False,0,236.27099999999993,17
Chrysene,c1ccc2c(c1)ccc3c4ccccc4ccc23,-8.057,True,c1ccc2c(c1)ccc1c3ccccc3ccc21,1,False,0,228.29399999999998,18
Bromacil,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O ,-2.523,True,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,1,False,0,261.11899999999997,14
"2,2',3,3',5,6-PCB",Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,-8.6,True,Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,1,False,0,360.88200000000006,18
2-Methylphenol,Cc1ccccc1O,-0.62,True,Cc1ccccc1O,1,False,0,108.13999999999999,8
"2,2,5-Trimethylhexane",CC(C)CCC(C)(C)C,-5.05,True,CC(C)CCC(C)(C)C,1,False,0,128.259,9
"1,4-Dimethylnaphthalene ",Cc1ccc(C)c2ccccc12,-4.14,True,Cc1ccc(C)c2ccccc12,1,False,0,156.228,12
6-Methylchrysene,Cc1cc2c3ccccc3ccc2c4ccccc14,-6.57,True,Cc1cc2c3ccccc3ccc2c2ccccc12,1,False,0,242.321,19
2-Pentanone,CCCC(=O)C,-0.19,True,CCCC(C)=O,1,False,0,86.13399999999999,6
"2,2',3,3',5,5',6,6'-PCB",Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,-9.15,True,Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,1,False,0,429.77200000000016,20
Methyl butyrate,CCCOC(=O)CC,-0.82,True,CCCOC(=O)CC,1,False,0,116.15999999999998,8
Triamcinolone,CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO,-3.68,True,CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F,1,False,0,394.43900000000014,28
p-Aminophenol,Nc1ccc(O)cc1,-0.8,True,Nc1ccc(O)cc1,1,False,0,109.12799999999999,8
Benznidazole,O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2,-2.81,True,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,1,False,0,260.253,19
"Atovaquone(0,430mg/ml) - neutral",OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O,-5.931,True,O=C1C(O)=C(C2CCC(c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,1,False,0,366.84400000000016,26
Trietazine,CCNc1nc(Cl)nc(n1)N(CC)CC,-4.06,True,CCNc1nc(Cl)nc(N(CC)CC)n1,1,False,0,229.71499999999997,15
Pyrazinamide,NC(=O)c1cnccn1,-0.667,True,NC(=O)c1cnccn1,1,False,0,123.11499999999998,9
Carbromal,CCC(Br)(CC)C(=O)NC(N)=O,-2.68,True,CCC(Br)(CC)C(=O)NC(N)=O,1,False,0,237.09699999999998,12
"2,2'-PCB",Clc1ccccc1c2ccccc2Cl ,-5.27,True,Clc1ccccc1-c1ccccc1Cl,1,False,0,223.102,14
nitrofurantoin,O=C2CN(N=Cc1ccc(o1)N(=O)=O)C(=O)N2 ,-3.38,True,O=C1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)N1,1,False,0,238.15899999999996,17
Nitrofen,Clc2ccc(Oc1ccc(cc1)N(=O)=O)c(Cl)c2,-5.46,True,O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1,1,False,0,284.09799999999996,18
Camphor,CC1(C)C2CCC1(C)C(=O)C2,-1.96,True,CC12CCC(CC1=O)C2(C)C,1,False,0,152.237,11
5-Allyl-5-phenylbarbital,O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,-2.369,True,C=CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,1,False,0,244.25,18
Pentyl propanoate,CCCCC(=O)OCC,-2.25,True,CCCCC(=O)OCC,1,False,0,130.18699999999998,9
Isopentyl acetate,CC(C)CCOC(=O)C,-1.92,True,CC(=O)OCCC(C)C,1,False,0,130.18699999999998,9
3-Hexanoyloxymethylphenyltoin,O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-5.886,True,CCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,1,False,0,380.444,28
"2,3',5-PCB",Clc1cccc(c1)c2cc(Cl)ccc2Cl ,-6.01,True,Clc1cccc(-c2cc(Cl)ccc2Cl)c1,1,False,0,257.547,15
1-Bromopropane,CCCBr,-1.73,True,CCCBr,1,False,0,122.993,4
Propiconazole,CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl,-3.4930000000000003,True,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,1,False,0,342.2260000000001,22
Formothion,COP(=S)(OC)SCC(=O)N(C)C=O,-1.995,True,COP(=S)(OC)SCC(=O)N(C)C=O,1,False,0,257.27299999999997,14
4-methylpteridine,Cc1ncnc2nccnc12,-0.466,True,Cc1ncnc2nccnc12,1,False,0,146.15299999999996,11
Thiourea,NC(=S)N,0.32,True,NC(N)=S,1,False,0,76.12400000000001,4
p-Xylene ,Cc1ccc(C)cc1,-2.77,True,Cc1ccc(C)cc1,1,False,0,106.16799999999999,8
"1,2-Diethylbenzene",CCc1ccccc1CC,-3.28,True,CCc1ccccc1CC,1,False,0,134.22199999999998,10
Hexachloroethane,ClC(Cl)(Cl)C(Cl)(Cl)Cl,-3.67,True,ClC(Cl)(Cl)C(Cl)(Cl)Cl,1,False,0,236.74,8
Flucythrinate,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3,-6.876,True,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1,1,False,0,451.46900000000005,33
1-Nitropropane,CCCN(=O)=O,-0.8,True,CCC[N+](=O)[O-],1,False,0,89.09399999999998,6
Menthone,CC(C)C1CCC(C)CC1=O,-2.35,True,CC1CCC(C(C)C)C(=O)C1,1,False,0,154.253,11
RTI 24,CCN2c1cc(Cl)ccc1NC(=O)c3cccnc23 ,-5.36,True,CCN1c2cc(Cl)ccc2NC(=O)c2cccnc21,1,False,0,273.723,19
"2,3-Dichloronitrobenzene",O=N(=O)c1c(Cl)c(Cl)ccc1,-3.48,True,O=[N+]([O-])c1cccc(Cl)c1Cl,1,False,0,192.00100000000003,11
thiamylal,CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O ,-3.46,True,C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,1,False,0,254.35500000000002,17
Fluoranthene,c1ccc2c(c1)c3cccc4cccc2c34,-6.0,True,c1ccc2c(c1)-c1cccc3cccc-2c13,1,False,0,202.25599999999997,16
Propylisopropylether,CCCOC(C)C,-1.34,True,CCCOC(C)C,1,False,0,102.17699999999998,7
"1,3-Dimethylnaphthalene",Cc1cc(C)c2ccccc2c1,-4.29,True,Cc1cc(C)c2ccccc2c1,1,False,0,156.22799999999998,12
diethylstilbestrol,CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2 ,-4.07,True,CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,1,False,0,268.356,20
Chlorothalonil,c1(C#N)c(Cl)c(C#N)c(Cl)c(Cl)c(Cl)1,-5.64,True,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,1,False,0,265.914,14
"2,3',4',5-PCB",Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2,-7.25,True,Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2)c1,1,False,0,291.992,16
styrene oxide,C1OC1c2ccccc2 ,-1.6,True,c1ccc(C2CO2)cc1,1,False,0,120.15099999999995,9
Isopropylbenzene ,CC(C)c1ccccc1,-3.27,True,CC(C)c1ccccc1,1,False,0,120.19499999999995,9
Deoxycorticosterone,CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,-3.45,True,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12,1,False,0,330.4680000000001,24
chlorquinox,c2(Cl)c(Cl)c(Cl)c1nccnc1c2(Cl) ,-5.43,True,Clc1c(Cl)c(Cl)c2nccnc2c1Cl,1,False,0,267.93,14
L-arabinose,C1OC(O)C(O)C(O)C1O,0.39,True,OC1COC(O)C(O)C1O,1,False,0,150.13,10
Dichloromethane,ClCCl,-0.63,True,ClCCl,1,False,0,84.93299999999999,3
1-Ethylnaphthalene ,CCc1cccc2ccccc12,-4.17,True,CCc1cccc2ccccc12,1,False,0,156.22799999999998,12
Methyl formate,COC=O,0.58,True,COC=O,1,False,0,60.05200000000001,4
o-Nitrophenol,Oc1ccccc1N(=O)=O,-1.74,True,O=[N+]([O-])c1ccccc1O,1,False,0,139.10999999999999,10
thymine,Cc1c[nH]c(=O)[nH]c1=O ,-1.506,True,Cc1c[nH]c(=O)[nH]c1=O,1,False,0,126.115,9
2-Methylpropane,CC(C)C,-2.55,True,CC(C)C,1,False,0,58.123999999999995,4
Inosine,OCC1OC(C(O)C1O)n2cnc3c(O)ncnc23,-1.23,True,OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O,1,False,0,268.22900000000004,19
Ioxynil,Oc1c(I)cc(C#N)cc1I,-3.61,True,N#Cc1cc(I)c(O)c(I)c1,1,False,0,370.91499999999996,11
Niclosamide,Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)N(=O)=O,-4.7,True,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,1,False,0,327.1230000000001,21
Pentane,CCCCC,-3.18,True,CCCCC,1,False,0,72.151,5
Phenol,c1ccccc1O,0.0,True,Oc1ccccc1,1,False,0,94.11299999999999,7
2-aminoanthracene,Nc3ccc2cc1ccccc1cc2c3 ,-5.17,True,Nc1ccc2cc3ccccc3cc2c1,1,False,0,193.249,15
theobromine,Cn1cnc2n(C)c(=O)[nH]c(=O)c12 ,-2.523,True,Cn1cnc2c1c(=O)[nH]c(=O)n2C,1,False,0,180.16699999999997,13
Isoquinoline,c1ccc2cnccc2c1,-1.45,True,c1ccc2cnccc2c1,1,False,0,129.16199999999998,10
Anilofos,COP(=S)(OC)SCC(=O)N(C(C)C)c1ccc(Cl)cc1,-4.432,True,COP(=S)(OC)SCC(=O)N(c1ccc(Cl)cc1)C(C)C,1,False,0,367.86,21
Hexylbenzene ,CCCCCCc1ccccc1,-5.21,True,CCCCCCc1ccccc1,1,False,0,162.276,12
2-Chlorobiphenyl,Clc1ccccc1c2ccccc2,-4.54,True,Clc1ccccc1-c1ccccc1,1,False,0,188.657,13
2-Methyl-1-Pentene,CCCC(=C)C,-3.03,True,C=C(C)CCC,1,False,0,84.16199999999999,6
"2,3,4-Trimethylpentane",CC(C)C(C)C(C)C,-4.8,True,CC(C)C(C)C(C)C,1,False,0,114.23199999999999,8
Pentachlorobenzene,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,-5.65,True,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,1,False,0,250.339,11
m-Nitrophenol,Oc1cccc(c1)N(=O)=O,-1.01,True,O=[N+]([O-])c1cccc(O)c1,1,False,0,139.10999999999999,10
1-Decene,CCCCCCCCC=C,-5.51,True,C=CCCCCCCCC,1,False,0,140.26999999999998,10
Glyceryl triacetate,CC(=O)OCC(COC(=O)C)OC(=O)C,-0.6,True,CC(=O)OCC(COC(C)=O)OC(C)=O,1,False,0,218.20499999999998,15
dimethirimol,CCCCc1c(C)nc(nc1O)N(C)C ,-2.24,True,CCCCc1c(C)nc(N(C)C)nc1O,1,False,0,209.29299999999998,15
Cyfluthrin,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2,-7.337000000000001,True,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1,1,False,0,434.29400000000015,29
Pyridine,c1ccncc1,0.76,True,c1ccncc1,1,False,0,79.10199999999998,6
1-Bromoheptane,CCCCCCCBr,-4.43,True,CCCCCCCBr,1,False,0,179.101,8
"3,4-Dimethylpyridine",Cc1ccncc1C,0.36,True,Cc1ccncc1C,1,False,0,107.15599999999999,8
Fludrocortisone,CC34CC(O)C1(F)C(CCC2=CC(=O)CCC12C)C3CCC4(O)C(=O)CO ,-3.43,True,CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F,1,False,0,380.45600000000013,27
ethiofencarb,CCSCc1ccccc1OC(=O)NC ,-2.09,True,CCSCc1ccccc1OC(=O)NC,1,False,0,225.313,15
Malonic acid diethylester,CCOC(=O)CC(=O)OCC,-0.82,True,CCOC(=O)CC(=O)OCC,1,False,0,160.16899999999998,11
d-Limonene,CC1=CCC(CC1)C(C)=C,-4.26,True,C=C(C)C1CC=C(C)CC1,1,False,0,136.238,10
Indan,C1Cc2ccccc2C1,-3.04,True,c1ccc2c(c1)CCC2,1,False,0,118.17899999999997,9
p-t-Butylphenol,CC(C)(C)c1ccc(O)cc1,-2.41,True,CC(C)(C)c1ccc(O)cc1,1,False,0,150.22099999999998,11
Cyclopropyl-5-spirobarbituric acid,O=C2NC(=O)C1(CC1)C(=O)N2 ,-1.886,True,O=C1NC(=O)C2(CC2)C(=O)N1,1,False,0,154.125,11
m-Chloroiodobenzene,Clc1cccc(I)c1,-3.55,True,Clc1cccc(I)c1,1,False,0,238.45499999999998,8
1-Bromonapthalene,Brc1cccc2ccccc12,-4.35,True,Brc1cccc2ccccc12,1,False,0,207.07,11
trans-2-Pentene ,CC/C=C/C,-2.54,True,C/C=C/CC,1,False,0,70.135,5
"2,6-Dimethylpyridine",Cc1cccc(C)n1,0.45,True,Cc1cccc(C)n1,1,False,0,107.156,8
Trichloroethylene,ClC=C(Cl)Cl,-1.96,True,ClC=C(Cl)Cl,1,False,0,131.389,5
1-Napthylamine,Nc1cccc2ccccc12,-1.92,True,Nc1cccc2ccccc12,1,False,0,143.189,11
m-Xylene ,Cc1cccc(C)c1,-2.82,True,Cc1cccc(C)c1,1,False,0,106.16799999999999,8
2-hydroxypteridine,Oc2ncc1nccnc1n2,-1.947,True,Oc1ncc2nccnc2n1,1,False,0,148.125,11
Methanol,CO,1.57,True,CO,1,False,0,32.042,2
Amobarbital,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-2.468,True,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,1,False,0,226.27599999999998,16
2-Butanone,CCC(=O)C,0.52,True,CCC(C)=O,1,False,0,72.107,5
5-fluorouracil,Fc1c[nH]c(=O)[nH]c1=O ,-1.077,True,O=c1[nH]cc(F)c(=O)[nH]1,1,False,0,130.078,9
tubercidin,Nc1ncnc2n(ccc12)C3OC(CO)C(O)C3O ,-1.95,True,Nc1ncnc2c1ccn2C1OC(CO)C(O)C1O,1,False,0,266.257,19
"1,3-Benzenediol",Oc1cccc(O)c1,0.81,True,Oc1cccc(O)c1,1,False,0,110.11199999999998,8
1-Hexanol,CCCCCCO,-1.24,True,CCCCCCO,1,False,0,102.17699999999999,7
1-Chloropentane,CCCCCCl,-2.73,True,CCCCCCl,1,False,0,106.596,6
"1,3-Butadiene",C=CC=C,-1.87,True,C=CC=C,1,False,0,54.09199999999999,4
Propyl acetate,CCCOC(=O)C,-0.72,True,CCCOC(C)=O,1,False,0,102.13299999999998,7
"5,6,7,8-tetrahydro-2-naphthol",Oc2ccc1CCCCc1c2 ,-1.99,True,Oc1ccc2c(c1)CCCC2,1,False,0,148.205,11
chloroacetamide,NC(=O)CCl ,-0.02,True,NC(=O)CCl,1,False,0,93.513,5
Iodofenphos,COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,-6.62,True,COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,1,False,0,413.0,16
4-Chlorotoluene,Cc1ccc(Cl)cc1,-3.08,True,Cc1ccc(Cl)cc1,1,False,0,126.586,8
Metribuzin,CSc1nnc(c(=O)n1N)C(C)(C)C,-2.253,True,CSc1nnc(C(C)(C)C)c(=O)n1N,1,False,0,214.29399999999998,14
Tricresyl phosphate,Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc3ccccc3C)cc1,-6.01,True,Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc2ccccc2C)cc1,1,False,0,368.3690000000001,26
Caproaldehyde,CCCCCC=O,-1.3,True,CCCCCC=O,1,False,0,100.16099999999999,7
Butamben,CCCCOC(=O)c1ccc(N)cc1,-3.082,True,CCCCOC(=O)c1ccc(N)cc1,1,False,0,193.24599999999998,14
RTI 3,O2c1cc(C)ccc1N(C)C(=O)c3cc(N)cnc23 ,-3.043,True,Cc1ccc2c(c1)Oc1ncc(N)cc1C(=O)N2C,1,False,0,255.277,19
Nerol,CC(C)=CCC/C(C)=C\CO,-2.46,True,CC(C)=CCC/C(C)=C\CO,1,False,0,154.253,11
"2,4'-PCB",Clc1ccc(cc1)c2ccccc2Cl ,-5.28,True,Clc1ccc(-c2ccccc2Cl)cc1,1,False,0,223.102,14
3-Octanoyloxymethylphenytoin,O=C1N(COC(=O)CCCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-6.523,True,CCCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,1,False,0,408.498,30
Nitroethane,CCN(=O)=O,-0.22,True,CC[N+](=O)[O-],1,False,0,75.067,5
Ethalfluralin,CCN(CC(C)=C)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,-6.124,True,C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],1,False,0,333.266,23
"1,2,3,4-Tetrachlorobenzene",Clc1ccc(Cl)c(Cl)c1Cl,-4.57,True,Clc1ccc(Cl)c(Cl)c1Cl,1,False,0,215.894,10
Meprobamate,CCCC(C)(COC(N)=O)COC(N)=O ,-1.807,True,CCCC(C)(COC(N)=O)COC(N)=O,1,False,0,218.25299999999996,15
pregnenolone,CC(=O)C3CCC4C2CC=C1CC(O)CCC1(C)C2CCC34C ,-4.65,True,CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,1,False,0,316.48500000000007,23
Iodomethane,CI,-1.0,True,CI,1,False,0,141.939,2
cycloheximide,CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2 ,-1.13,True,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,1,False,0,281.35200000000003,20
3-Heptanoyloxymethylphenytoin,O=C1N(COC(=O)CCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-6.301,True,CCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,1,False,0,394.471,29
isophorone,CC1=CC(=O)CC(C)(C)C1 ,-1.06,True,CC1=CC(=O)CC(C)(C)C1,1,False,0,138.20999999999998,10
Butabarbital,O=C1NC(=O)NC(=O)C1(CC)C(C)CC,-2.39,True,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,1,False,0,212.24899999999997,15
5-Nonanone,CCCCC(=O)CCCC,-2.58,True,CCCCC(=O)CCCC,1,False,0,142.242,10
Glutethimide,CCC1(CCC(=O)NC1=O)c2ccccc2 ,-2.337,True,CCC1(c2ccccc2)CCC(=O)NC1=O,1,False,0,217.268,16
3-Methylpentane,CCC(C)CC,-3.68,True,CCC(C)CC,1,False,0,86.178,6
