scaffold,split,n_molecules,mean_logS
c1ccc2c(c1)cnc1ccccc12,validation,1,-2.78
c1ccc2c(c1)oc1ccccc12,test,1,-4.6
c1ccc2c(c1)CCN2,validation,1,-1.04
c1ccc2c(c1)Cc1c-2ccc2ccccc12,test,1,-6.68
c1ccc2c(c1)Cc1cc3ccccc3cc1-2,train,1,-8.04
c1ccc2c(c1)OCO2,validation,1,-1.63
c1ccc2c(c1)[nH]c1ccccc12,test,1,-5.27
c1ccc2[nH]cnc2c1,validation,1,-4.883
c1ccc2[nH]ncc2c1,test,1,-2.16
c1ccc2[nH]nnc2c1,train,1,-0.78
c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,validation,1,-8.23
c1ccc2c(c1)-c1cccc3cccc-2c13,test,1,-6.0
c1ccc2ocnc2c1,validation,1,-1.16
c1ccc2c(c1)sc1ccccc12,train,1,-4.38
c1ccc2c(c1)sc1nncn12,validation,1,-2.07
c1ccc2c3c(ccc2c1)-c1cccc2cccc-3c12,test,1,-8.0
c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12,train,1,-8.49
c1ccc2cc3c(ccc4ccccc43)cc2c1,validation,1,-7.02
c1ccc2cc3cc4ccccc4cc3cc2c1,test,1,-8.6
C=C(c1ccccc1)c1ccccc1,test,1,-6.9
O=C(C=CC=Cc1ccc2c(c1)OCO2)N1CCCCC1,train,1,-3.46
O=C(CNc1ccccc1)OCc1cccc(Oc2ccccc2)c1,validation,1,-8.003
O=C(COc1nc2ccccc2s1)Nc1ccccc1,test,1,-4.873
O=C(Cc1ccccc1)OCc1cccc(Oc2ccccc2)c1,train,1,-6.876
O=C(Cc1ccccc1)c1ccccc1,validation,1,-2.85
O=C(Cn1ccnc1)NCc1ccccc1,test,1,-2.81
C1CCNCC1,test,1,-4.15
C1CO1,train,1,-0.59
C=C(C(=C)c1ccccc1)c1ccccc1,validation,1,-4.95
C1CC2CCC1CO2,validation,1,-1.69
C1CC2CCC3C4CC5SC5CC4CCC3C2C1,test,1,-5.41
C1CC2OCOC2O1,train,1,-1.84
C1CCC(OC2CCCO2)OC1,validation,1,0.79
C1CCC(OC2CCCOC2)OC1,test,1,-0.244
C1CCC(OCC2CCCC(OC3CCCO3)O2)OC1,train,1,-0.41
O=C1CCC2C1CCC1C3CCCCC3=CCC21,test,1,-4.12
O=C1CCC2C1CCC1C3CCCCC3CCC21,train,1,-4.281000000000001
O=C1C=CC2CCC3CC(=O)OC3C2=C1,train,1,-3.09
O=C1CC(=O)N2c3ccccc3N=CN12,validation,1,-3.5380000000000003
O=C1CC(CCC2CCCCC2=O)CC(=O)N1,test,1,-1.13
O=C1Nc2cccnc2N(C2CC2)c2ncccc21,validation,1,-3.19
O=C1OC(c2ccccc2)(c2ccccc2)c2ccccc21,test,1,-2.9
O=C1OCC2C(OC3CCC4OCOCC4O3)c3cc4c(cc3C(c3ccccc3)C12)OCO4,train,1,-3.571
O=C1OCC2C=CC=CC12,validation,1,-1.899
O=C1c2ccc3c(c2OC2COc4ccccc4C12)CCO3,test,1,-4.42
O=C1NCCN1,train,1,-2.15
O=C1NCCN1c1nccs1,validation,1,-3.22
O=C1NCCN1c1nncs1,test,1,-1.877
O=C1NCNC(=O)C1c1ccccc1,train,1,-2.64
O=C1NCNc2ccccc21,validation,1,-3.29
O=C1Nc2ccccc2Cc2ccccc21,test,1,-4.799
O=C1Nc2ccccc2Nc2ccccc21,train,1,-4.749
O=C1NC(=O)C2(CCCCC2)C(=O)N1,test,1,-3.06
O=C1NC(=O)C2(CCCCCC2)C(=O)N1,train,1,-3.168
O=C1NC(=O)C2(CCCCCCC2)C(=O)N1,validation,1,-2.982
O=C1NC(=O)C2C3C(C(c4ccccc4)c4ccccn4)=CC(C3=C(c3ccccc3)c3ccccn3)C12,test,1,-3.931
O=C1NC(=O)C2C=CC=CC12,train,1,-2.932
O=C1NC(=O)C2CC=CCC12,validation,1,-5.4
O=C(OCc1ccccc1)C1CC1,test,1,-7.321000000000001
O=C(c1ccccc1)c1ccc2nc[nH]c2c1,train,1,-3.88
O=C(NCc1ccccc1)Nc1ccccc1,train,1,-3.35
O=C(NN1CCc2ccccc21)c1ccccc1,validation,1,-3.5860000000000003
O=C(NNCc1ccccc1)c1ccon1,test,1,-2.461
O=C(Nc1ccccc1)C1=COCCC1,train,1,-2.56
O=C(Nc1ccccc1)C1=COCCS1,validation,1,-3.14
O=C(Nc1ccccc1)C1=COCCS1(=O)=O,test,1,-2.281
O=C(Nc1ccccc1)N(Cc1ccccc1)C1CCCC1,train,1,-5.915
O=C(Nc1ccccc1)NC1CCCCC1,validation,1,-4.11
O=C1CN(N=Cc2ccco2)C(=O)N1,test,1,-3.38
O=C1CNC(=O)N1c1ccccc1,train,1,-4.376
O=C1COC(=O)N1c1ccccc1,validation,1,-4.925
O=C1CSC(=S)N1,test,1,-1.77
O=C1NC(=O)C(=O)C(=O)N1,train,1,-1.25
O=C1NC(=O)C(=O)N1,validation,1,-0.4
O=C1CCC2C1CCC1c3ccccc3CCC12,validation,1,-3.955
O=C1CCC2C3=CCc4ccccc4C3CCC12,test,1,-5.282
O=C1CCC2c3ccc4ccccc4c3CCC12,train,1,-5.24
O=C1CCCC(CCC2CC=CC3=CCCCC32)O1,validation,1,-6.005
O=C1CCCN1,test,1,1.07
O=C1CCCN1c1ccccc1,train,1,-4.047
O=C1CCON1Cc1ccccc1,validation,1,-2.338
O=C1CC(c2ccccc2)Oc2ccccc21,train,1,-3.62
O=C1CCC(=O)N1,validation,1,0.3
O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,test,1,-2.676
O=C1CCC(c2ccccc2)C(=O)N1,train,1,-2.337
O=C1CCC2C(CCC3C4CCCC4CCC23)C1,validation,1,-4.743
O=C1NC(c2ccccc2)c2ccccc21,test,1,-3.451
O=C1NC(=O)C(C2=CCC3CCC2C3)C(=O)N1,test,1,-2.696
O=C1NC(=O)C(C2=CCCCC2)C(=O)N1,train,1,-2.17
O=C1NC(=O)C(C2C(=O)NC(=O)NC2=O)C(=O)N1,validation,1,-1.99
O=C1NC(=O)C2(CC2)C(=O)N1,test,1,-1.886
O=C1NC(=O)C2(CCC2)C(=O)N1,train,1,-1.655
O=C1NC(=O)C2(CCCC2)C(=O)N1,validation,1,-2.349
O=c1ccoc2cc3occc3cc12,train,1,-3.0210000000000004
O=c1cnnc[nH]1,validation,1,-2.253
O=c1nc2[nH]c3ccccc3nc-2c(=O)[nH]1,test,1,-3.685
O=c1oc2ccccc2cc1C(CCc1ccc(-c2ccccc2)cc1)c1ccccc1,train,1,-4.445
O=c1[nH]cnc2nc[nH]c12,train,1,-2.296
O=c1c(-c2ccccc2)c[nH]cc1-c1ccccc1,validation,1,-4.445
O=c1c2ccccc2ncn1-c1ccccc1,test,1,-2.925
O=c1cc(-c2ccccc2)oc2ccccc12,train,1,-3.083
O=c1cc[nH]c(=S)[nH]1,validation,1,-2.436
O=c1ccc2cc3ccoc3cc2o1,test,1,-3.664
O=c1[nH]c(=O)c2[nH]c(=O)[nH]c2[nH]1,validation,1,-3.93
O=c1[nH]c(=O)n(-c2ccccc2)o1,test,1,-2.82
O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2,train,1,-4.593999999999999
O=c1[nH]cnc2[nH]cnc12,validation,1,-3.583
O=c1[nH]cnc2[nH]ncc12,test,1,-2.266
O=C1c2ccccc2C(=O)c2ccccc21,train,1,-5.19
O=C1c2ccccc2NCN1c1ccccc1,validation,1,-3.78
O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,test,1,-6.01
O=S(=O)(NNc1ncccn1)c1ccccc1,train,1,-4.5760000000000005
O=S(Nc1ccno1)c1ccccc1,validation,1,-3.59
O=S1(=O)NC(Cc2ccccc2)Nc2ccccc21,test,1,-3.59
O=S1(=O)NC=Nc2ccccc21,train,1,-3.05
c1ccc(C2OCCO2)cc1,train,1,-1.57
c1ccc(CCOCc2cccc(Oc3ccccc3)c2)cc1,validation,1,-8.6
c1ccc(CNc2ccccc2)cc1,test,1,-6.78
c1ccc(COC2CCCC(COC3CCCCO3)O2)cc1,train,1,-0.77
c1ccc(Cn2ccnc2)cc1,validation,1,-4.735
c1ccc(N=Nc2ccccc2)cc1,test,1,-4.45
c1ccc(-n2cccn2)cc1,validation,1,-2.09
c1ccc(C(Cn2cncn2)Cn2cncn2)cc1,test,1,-1.8
c1ccc(C(Cn2cncn2)c2ccccc2)cc1,train,1,-3.37
c1ccc(C(c2ccccc2)c2cncnc2)cc1,validation,1,-4.38
c1ccc(C(c2cncnc2)C2CC2)cc1,test,1,-2.596
c1ccc(C2(Cn3cncn3)OCCO2)cc1,train,1,-3.4930000000000003
c1ccc(C2=NCc3nncn3-c3ccccc32)cc1,validation,1,-4.09
c1ccc(C2CO2)cc1,test,1,-1.6
c1cc2c3c(cccc3c1)CC2,train,1,-4.63
c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,validation,1,-9.332
c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,test,1,-9.018
c1cc2ccc3cccc4ccc(c1)c2c34,train,1,-6.176
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,validation,1,-8.804
c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,test,1,-7.11
c1ccc2c(c1)CCC2,train,1,-3.04
c1ccc(NNc2ccccc2)cc1,train,1,-2.92
c1ccc(Nc2ccccc2)cc1,validation,1,-3.504
c1ccc(Nc2ccnc3ccccc23)cc1,test,1,-4.571000000000001
c1ccc(OC2CCCC(COC3CCCCO3)O2)cc1,train,1,-0.742
c1ccc(OC2CCCCO2)cc1,validation,1,-0.85
c1ccc(OCn2cncn2)cc1,test,1,-3.61
c1ccc(Sc2ccccc2)cc1,train,1,-6.237
O=C1C=C2CCC3C4CCC(=O)C4CC(=O)C3C2CC1,validation,1,-3.48
O=C1C=C2CCC3C4CCC(=O)C4CCC3C2CC1,test,1,-3.69
O=C1C=CC2(CC1)Oc1ccccc1C2=O,train,1,-3.2460000000000004
O=C1C=CC2=C3c4ccccc4OCC3CC2=C1,validation,1,-2.7
O=C1C=CC2C(=C1)CCC1C2CCC2C1CC1OCOC12,test,1,-4.31
O=C(c1ccccc1)c1ccccc1,validation,1,-3.12
O=C1C2C3C4CC5C3C1C5C42,test,1,-5.259
O=C1C2C=CC=CC2OC2C=CC=CC12,train,1,-2.943
O=C1C2CC2C(=O)N1c1ccccc1,validation,1,-4.8
O=C1C=C(C2CCC(c3ccccc3)CC2)C(=O)c2ccccc21,test,1,-5.931
O=C1C=C2CCC3C(CCC4C3CCC43CCC(=O)O3)C2CC1,train,1,-4.173
O=C(Nc1ccccc1)Nc1ccccc1,test,1,-3.15
O=C(Nc1ccccc1)c1ccoc1,train,1,-3.3
O=C(Nc1ccccn1)C1=Cc2ccccc2S(=O)(=O)N1,validation,1,-4.16
c1ccc(-c2cnc3ncncc3n2)cc1,train,1,-2.404
O=c1oc2ccccc2cc1C1CCCc2ccccc21,validation,1,-2.84
S=C1Nc2ccccc2Nc2ncccc21,test,1,-4.706
S=C1Nc2cccnc2Nc2ncccc21,train,1,-4.634
c1c[nH]cn1,validation,1,-1.24
c1cc(N2CCCCC2)nc[nH+]1,test,1,-1.989
c1cscn1,test,1,-0.36
c1ncc2ccn(C3CCCO3)c2n1,train,1,-1.95
c1ncc2ncn(C3CCCO3)c2n1,validation,1,-1.23
C1=CCC=CC1,test,1,-2.06
c1ccsc1,test,1,-1.33
c1cnc2c(c1)ccc1ncccc12,train,1,-2.68
c1cnccn1,validation,1,-0.667
c1ccc2cnccc2c1,train,1,-1.45
c1ccc2nc(-c3ccc4ccccc4n3)ccc2c1,validation,1,-5.4
c1ccc2nc(N3CCNCC3)ncc2c1,test,1,-3.638
c1ccc2nccnc2c1,train,1,-5.43
C1CCC2CCCCC2C1,validation,1,-5.19
C(=Cc1ccccc1)c1ccccc1,validation,1,-4.07
C1=CCCC1,train,1,-2.1
c1nncs1,test,1,-2.36
C1=CCCCCC1,validation,1,-3.18
C1=CNC=CN1,test,1,-4.19
C1=Cc2cccc3cccc1c23,train,1,-3.96
C1C2C3C4CC5C3C1C5C24,validation,1,-6.8
C1CC2C3CCC(C3)C2C1,test,1,-3.1710000000000003
C1CC2CCC1C2,train,1,-2.32
